"stock_name","common_name","stock_area","assessment_level","overfishing","overfished","scientific_name","last_assessment","model_category","catch_gap","abundance_gap","LH_gap","comp_gap","eco_gap","Region","Functional_group","Complexity.in.Reproductive.Strategy","Habitat.Specificity","Prey.Specificity","Exposure","Sensitivity","Winfinity","tmax","tm","Lm","Temperature","ln_var","rho","ln_MASPS","ln_margsd","h","logitbound_h","ln_Fmsy_over_M","ln_Fmsy","ln_r","ln_G","G","Fmsy_over_M","Fmsy","MASPS","margsd","Loo","K","M","r"
"Northern rock sole - Bering Sea / Aleutian Islands","Northern rock sole","Bering Sea / Aleutian Islands",NA,"Unknown","Unknown","Lepidopsetta _ polyxystra",NA,NA,NA,NA,NA,NA,NA,"bering_sea","Flatfish",1.65,1.4,1.45,4,1.45,692.481671925167,16.1771290748839,3.92465754286385,22.9687707427182,6.06819037390809,-1.59838337385117,0.495767423379528,1.58102818629548,-0.624429680214321,0.801627258599252,1.45541730515913,1.27204428089589,-0.0835304285239922,-1.06209212179916,2.27693697410416,10.2005104120242,3.56813939084628,0.919863096169092,4.85995017739713,0.535566785769549,40.6932308127083,0.198863008024282,0.257498515612675,0.410739718247531
"Northern rockfish - Bering Sea / Aleutian Islands","Northern rockfish","Bering Sea / Aleutian Islands",NA,"No","No","Sebastes _ polyspinis",2021,6,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,631.750064386226,48.1489176330813,9.11791370930277,28.7269224035525,6.03008019111522,-0.493391910748818,0.379438793192461,-1.34856729690267,-0.155220385583151,0.515748202445006,-0.536619784303696,-0.069211087018899,-2.39603116509306,-2.72227009720253,3.06613109717137,21.7405251431166,0.933129687723641,0.0910787132940163,0.259611941160607,0.856226456721736,37.8661328082806,0.149659748989849,0.0962954326227021,0.0817286282662082
"Pacific cod - Aleutian Islands","Pacific cod","Aleutian Islands",NA,"No","Unknown","Gadus _ macrocephalus",2021,2,0,1,3,3,0,NA,NA,NA,NA,NA,NA,NA,8354.82247326898,12.2938221007344,2.48573199936992,52.0048207393499,6.28524627506971,-0.868143415928942,0.268360098738769,0.907804732139527,-0.392816703602428,0.655446500256167,0.334842852912474,0.567715129635633,-0.222164483716025,-1.14382504540295,1.82190982719586,6.26490678385133,1.76423140267447,0.800783637633058,2.47887476181897,0.675152489264179,94.4384778384,0.228702022554369,0.452952022943524,0.357825395173648
"Pacific cod - Bering Sea","Pacific cod","Bering Sea",NA,"No","No","Gadus _ macrocephalus",2021,6,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,8354.82247326898,12.2938221007344,2.48573199936992,52.0048207393499,6.28524627506971,-0.868143415928942,0.268360098738769,0.907804732139527,-0.392816703602428,0.655446500256167,0.334842852912474,0.567715129635633,-0.222164483716025,-1.14382504540295,1.82190982719586,6.26490678385133,1.76423140267447,0.800783637633058,2.47887476181897,0.675152489264179,94.4384778384,0.228702022554369,0.452952022943524,0.357825395173648
"Pacific ocean perch - Bering Sea / Aleutian Islands","Pacific ocean perch","Bering Sea / Aleutian Islands",NA,"No","No","Sebastes _ alutus",2021,6,0,0,0,1,1,"bering_sea","Rockfish",2.3,1.9,1.95,4,3.2,989.649583960043,55.2921803119375,10.3225702076763,31.4583296184213,6.65752812142372,-0.785191415294329,0.444674800270699,-1.36589366012657,-0.271608247235287,0.499459259318619,-0.551619535779795,-0.0457334684690386,-2.41694093097282,-2.77069866143942,3.15775176785525,23.6166036078982,0.955296544912684,0.0891940513097289,0.255152554407613,0.762152778071537,43.3915372734717,0.123964229559931,0.0930162782454768,0.066622932445188
"Pacific ocean perch - Bering Sea / Aleutian Islands","Pacific ocean perch","Bering Sea / Aleutian Islands",NA,"No","No","Sebastes _ alutus",2021,6,0,0,0,1,1,"general","Rockfish",2.75,2.4,1.8,3.95,2.35,989.649583960043,55.2921803119375,10.3225702076763,31.4583296184213,6.65752812142372,-0.785191415294329,0.444674800270699,-1.36589366012657,-0.271608247235287,0.499459259318619,-0.551619535779795,-0.0457334684690386,-2.41694093097282,-2.77069866143942,3.15775176785525,23.6166036078982,0.955296544912684,0.0891940513097289,0.255152554407613,0.762152778071537,43.3915372734717,0.123964229559931,0.0930162782454768,0.066622932445188
"Shortraker rockfish - Bering Sea / Aleutian Islands","Shortraker rockfish","Bering Sea / Aleutian Islands",NA,"Unknown","Unknown","Sebastes _ borealis",2020,2,3,1,2,3,4,"bering_sea","Rockfish",2.3,1.9,1.75,4,3.2,2999.28428125844,76.0404994602555,17.0151092974462,39.5122867256073,9.08587320815563,-2.15276615554945,0.725712626167897,-1.22204163755053,-0.61054669814246,0.612880473463673,0.0825965065620437,0.379654603570611,-2.4909435286018,-2.96906463840323,3.66280079716357,40.5886204898755,1.46177960877256,0.0828317755438729,0.29462802881222,0.543053901346921,62.4499009533886,0.0691083116827118,0.0564331207538111,0.0652659091346754
"Shortraker rockfish - Bering Sea / Aleutian Islands","Shortraker rockfish","Bering Sea / Aleutian Islands",NA,"Unknown","Unknown","Sebastes _ borealis",2020,2,3,1,2,3,4,"general","Rockfish",2,2.45,1.6,4,2.15,2999.28428125844,76.0404994602555,17.0151092974462,39.5122867256073,9.08587320815563,-2.15276615554945,0.725712626167897,-1.22204163755053,-0.61054669814246,0.612880473463673,0.0825965065620437,0.379654603570611,-2.4909435286018,-2.96906463840323,3.66280079716357,40.5886204898755,1.46177960877256,0.0828317755438729,0.29462802881222,0.543053901346921,62.4499009533886,0.0691083116827118,0.0564331207538111,0.0652659091346754
"Walleye pollock - Aleutian Islands","Walleye pollock","Aleutian Islands",NA,"No","No","Gadus _ chalcogrammus",2021,6,0,1,1,3,0,NA,NA,NA,NA,NA,NA,NA,5197.01789538968,12.5231036362415,2.46336052068968,42.4780653633215,6.72109375489775,-1.1560132192172,0.328682764199747,1.12635788936345,-0.49712566381604,0.714911607768521,0.715432724800977,0.820694459475492,-0.154673856610116,-1.07524744882571,1.94979155866647,7.85606336340018,2.27207715528692,0.85669453718593,3.08440228364982,0.608276540656901,81.4969261203167,0.212545498934561,0.378712453499982,0.417175261959178
"Walleye pollock - Bogoslof","Walleye pollock","Bogoslof",NA,"No","Unknown","Gadus _ chalcogrammus",2020,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5197.01789538968,12.5231036362415,2.46336052068968,42.4780653633215,6.72109375489775,-1.1560132192172,0.328682764199747,1.12635788936345,-0.49712566381604,0.714911607768521,0.715432724800977,0.820694459475492,-0.154673856610116,-1.07524744882571,1.94979155866647,7.85606336340018,2.27207715528692,0.85669453718593,3.08440228364982,0.608276540656901,81.4969261203167,0.212545498934561,0.378712453499982,0.417175261959178
