Stock Name,Scientific Name,Common Name,Stock Area,Assessment Level
Goosefish - Southern Georges Bank / Mid-Atlantic,Lophius americanus,Goosefish,Southern Georges Bank / Mid-Atlantic,
Spiny dogfish - Atlantic Coast,Squalus acanthias,Spiny dogfish,Atlantic Coast,4
Blue king crab - Pribilof Islands,Paralithodes platypus,Blue king crab,Pribilof Islands,
Blue king crab - Saint Matthew Island,Paralithodes platypus,Blue king crab,Saint Matthew Island,
Golden king crab - Aleutian Islands,Lithodes aequispinus,Golden king crab,Aleutian Islands,4
Golden king crab - Eastern Aleutian Islands,Lithodes aequispinus,Golden king crab,Eastern Aleutian Islands,
Golden king crab - Pribilof Islands,Lithodes aequispinus,Golden king crab,Pribilof Islands,0
Golden king crab - Western Aleutian Islands,Lithodes aequispinus,Golden king crab,Western Aleutian Islands,
Red king crab - Bristol Bay,Paralithodes camtschaticus,Red king crab,Bristol Bay,
Red king crab - Norton Sound,Paralithodes camtschaticus,Red king crab,Norton Sound,
Red king crab - Pribilof Islands,Paralithodes camtschaticus,Red king crab,Pribilof Islands,
Red king crab - Western Aleutian Islands,Paralithodes camtschaticus,Red king crab,Western Aleutian Islands,0
Snow crab - Bering Sea,Chionoecetes opilio,Snow crab,Bering Sea,
Southern Tanner crab - Bering Sea,Chionoecetes bairdi,Southern Tanner crab,Bering Sea,
Alaska plaice - Bering Sea / Aleutian Islands,Pleuronectes quadrituberculatus,Alaska plaice,Bering Sea / Aleutian Islands,
Alaska skate - Bering Sea / Aleutian Islands,Bathyraja parmifera,Alaska skate,Bering Sea / Aleutian Islands,
Aleutian Islands Blackspotted and Rougheye rockfish Complex,,,Aleutian Islands,4
Arrowtooth flounder - Bering Sea / Aleutian Islands,Reinhardtius stomias,Arrowtooth flounder,Bering Sea / Aleutian Islands,
Atka mackerel - Bering Sea / Aleutian Islands,Pleurogrammus monopterygius,Atka mackerel,Bering Sea / Aleutian Islands,
Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex,,,,
Bering Sea / Aleutian Islands Other Flatfish Complex,,,,
Bering Sea / Aleutian Islands Other Rockfish Complex,,,,
Bering Sea / Aleutian Islands Other Skates Complex,,,,
Bering Sea / Aleutian Islands Sculpin Complex,,,,
Bering Sea / Aleutian Islands Shark Complex,,,,0
Bering Sea / Aleutian Islands Skate Complex,,,,1
Bering Sea / Aleutian Islands Squid Complex,,,,0
Eastern Bering Sea Blackspotted and Rougheye Rockfish Complex,,,Eastern Bering Sea,1
Flathead sole - Bering Sea / Aleutian Islands,Hippoglossoides elassodon,Flathead sole,Bering Sea / Aleutian Islands,
Giant octopus - Bering Sea / Aleutian Islands,Enteroctopus dofleini,Giant octopus,Bering Sea / Aleutian Islands,
Greenland halibut - Bering Sea / Aleutian Islands,Reinhardtius hippoglossoides,Greenland halibut,Bering Sea / Aleutian Islands,
Kamchatka flounder - Bering Sea / Aleutian Islands,Reinhardtius evermanni,Kamchatka flounder,Bering Sea / Aleutian Islands,
Northern rock sole - Bering Sea / Aleutian Islands,Lepidopsetta polyxystra,Northern rock sole,Bering Sea / Aleutian Islands,
Northern rockfish - Bering Sea / Aleutian Islands,Sebastes polyspinis,Northern rockfish,Bering Sea / Aleutian Islands,
Pacific cod - Aleutian Islands,Gadus macrocephalus,Pacific cod,Aleutian Islands,
Pacific cod - Bering Sea,Gadus macrocephalus,Pacific cod,Bering Sea,
Pacific ocean perch - Bering Sea / Aleutian Islands,Sebastes alutus,Pacific ocean perch,Bering Sea / Aleutian Islands,
Shortraker rockfish - Bering Sea / Aleutian Islands,Sebastes borealis,Shortraker rockfish,Bering Sea / Aleutian Islands,
Walleye pollock - Aleutian Islands,Gadus chalcogrammus,Walleye pollock,Aleutian Islands,
Walleye pollock - Bogoslof,Gadus chalcogrammus,Walleye pollock,Bogoslof,
Walleye pollock - Eastern Bering Sea,Gadus chalcogrammus,Walleye pollock,Eastern Bering Sea,4
Yellowfin sole - Bering Sea / Aleutian Islands,Limanda aspera,Yellowfin sole,Bering Sea / Aleutian Islands,
Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Anoplopoma fimbria,Sablefish,Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,
Arrowtooth flounder - Gulf of Alaska,Reinhardtius stomias,Arrowtooth flounder,Gulf of Alaska,
Atka mackerel - Gulf of Alaska,Pleurogrammus monopterygius,Atka mackerel,Gulf of Alaska,0
Big skate - Gulf of Alaska,Raja binoculata,Big skate,Gulf of Alaska,
Dover sole - Gulf of Alaska,Microstomus pacificus,Dover sole,Gulf of Alaska,
Dusky rockfish - Gulf of Alaska,Sebastes variabilis,Dusky rockfish,Gulf of Alaska,
Flathead sole - Gulf of Alaska,Hippoglossoides elassodon,Flathead sole,Gulf of Alaska,
Giant octopus - Gulf of Alaska,Enteroctopus dofleini,Giant octopus,Gulf of Alaska,1
Gulf of Alaska Blackspotted and Rougheye Rockfish Complex,,,,
Gulf of Alaska Other Rockfish Complex,,,,
Gulf of Alaska Other Shallow Water Flatfish Complex,,,,
Gulf of Alaska Sculpin Complex,,,,
Gulf of Alaska Shallow Water Flatfish Complex,,,,4
Gulf of Alaska Shark Complex,,,,
Gulf of Alaska Skate Complex,,,,
Gulf of Alaska Squid Complex,,,,0
Longnose skate - Gulf of Alaska,Raja rhina,Longnose skate,Gulf of Alaska,1
North Pacific spiny dogfish - Gulf of Alaska,Squalus suckleyi,North Pacific spiny dogfish,Gulf of Alaska,
Northern rock sole - Central Gulf of Alaska,Lepidopsetta polyxystra,Northern rock sole,Central Gulf of Alaska,
Northern rock sole - Gulf of Alaska,Lepidopsetta polyxystra,Northern rock sole,Gulf of Alaska,
Northern rock sole - Western Gulf of Alaska,Lepidopsetta polyxystra,Northern rock sole,Western Gulf of Alaska,
Northern rockfish - Western / Central Gulf of Alaska,Sebastes polyspinis,Northern rockfish,Western / Central Gulf of Alaska,
Pacific cod - Gulf of Alaska,Gadus macrocephalus,Pacific cod,Gulf of Alaska,
Pacific ocean perch - Gulf of Alaska,Sebastes alutus,Pacific ocean perch,Gulf of Alaska,
Rex sole - Eastern Gulf of Alaska,Glyptocephalus zachirus,Rex sole,Eastern Gulf of Alaska,
Rex sole - Gulf of Alaska,Glyptocephalus zachirus,Rex sole,Gulf of Alaska,
Rex sole - Western / Central Gulf of Alaska,Glyptocephalus zachirus,Rex sole,Western / Central Gulf of Alaska,
Rock sole - Central Gulf of Alaska,Lepidopsetta bilineata,Rock sole,Central Gulf of Alaska,
Rock sole - Gulf of Alaska,Lepidopsetta bilineata,Rock sole,Gulf of Alaska,
Rock sole - Western Gulf of Alaska,Lepidopsetta bilineata,Rock sole,Western Gulf of Alaska,
Rougheye rockfish - Gulf of Alaska,Sebastes aleutianus,Rougheye rockfish,Gulf of Alaska,4
Shortraker rockfish - Gulf of Alaska,Sebastes borealis,Shortraker rockfish,Gulf of Alaska,
Shortspine thornyhead - Gulf of Alaska,Sebastolobus alascanus,Shortspine thornyhead,Gulf of Alaska,
Walleye pollock - Southeast Gulf of Alaska,Gadus chalcogrammus,Walleye pollock,Southeast Gulf of Alaska,3
Walleye pollock - Western / Central / West Yakutat Gulf of Alaska,Gadus chalcogrammus,Walleye pollock,Western / Central / West Yakutat Gulf of Alaska,
Yelloweye rockfish - Gulf of Alaska,Sebastes ruberrimus,Yelloweye rockfish,Gulf of Alaska,
Chinook salmon - Eastern North Pacific Far North Migrating,Oncorhynchus tshawytscha,Chinook salmon,Eastern North Pacific Far North Migrating,4
Coho salmon - Auke Creek,Oncorhynchus kisutch,Coho salmon,Auke Creek,4
Coho salmon - Berners River,Oncorhynchus kisutch,Coho salmon,Berners River,4
Coho salmon - Ford Arm Lake,Oncorhynchus kisutch,Coho salmon,Ford Arm Lake,4
Coho salmon - Hugh Smith Lake,Oncorhynchus kisutch,Coho salmon,Hugh Smith Lake,4
Weathervane scallop - Alaska,Patinopecten caurinus,Weathervane scallop,Alaska,1
Northern anchovy - Southern Pacific Coast,Engraulis mordax,Northern anchovy,Southern Pacific Coast,
Pacific chub mackerel - Pacific Coast,Scomber japonicus,Pacific chub mackerel,Pacific Coast,4
Pacific sardine - Northern Subpopulation,Sardinops sagax,Pacific sardine,Northern Subpopulation,4
Arrowtooth flounder - Pacific Coast,Reinhardtius stomias,Arrowtooth flounder,Pacific Coast,4
Aurora rockfish - Pacific Coast,Sebastes aurora,Aurora rockfish,Pacific Coast,4
Bank rockfish - California,Sebastes rufus,Bank rockfish,California,2
Big skate - Pacific Coast,Raja binoculata,Big skate,Pacific Coast,
Black rockfish - California,Sebastes melanops,Black rockfish,California,
Black rockfish - Northern Pacific Coast,Sebastes melanops,Black rockfish,Northern Pacific Coast,4
Black rockfish - Oregon,Sebastes melanops,Black rockfish,Oregon,
Black rockfish - Southern Pacific Coast,Sebastes melanops,Black rockfish,Southern Pacific Coast,4
Black rockfish - Washington,Sebastes melanops,Black rockfish,Washington,
Blackgill rockfish - Southern California,Sebastes melanostomus,Blackgill rockfish,Southern California,
Blue rockfish - Southern California,Sebastes mystinus,Blue rockfish,Southern California,2
Bocaccio - Southern Pacific Coast,Sebastes paucispinis,Bocaccio,Southern Pacific Coast,4
Brown rockfish - Pacific Coast,Sebastes auriculatus,Brown rockfish,Pacific Coast,3
Cabezon - California,Scorpaenichthys marmoratus,Cabezon,California,4
Cabezon - Northern California,Scorpaenichthys marmoratus,Cabezon,Northern California,
Cabezon - Oregon,Scorpaenichthys marmoratus,Cabezon,Oregon,4
Cabezon - Southern California,Scorpaenichthys marmoratus,Cabezon,Southern California,
Cabezon - Washington,Scorpaenichthys marmoratus,Cabezon,Washington,1
California Blue and Deacon Rockfish Complex,,,,
California scorpionfish - Southern California,Scorpaena guttata,California scorpionfish,Southern California,4
Canary rockfish - Pacific Coast,Sebastes pinniger,Canary rockfish,Pacific Coast,
Chilipepper - Southern Pacific Coast,Sebastes goodei,Chilipepper,Southern Pacific Coast,4
China rockfish - Central Pacific Coast,Sebastes nebulosus,China rockfish,Central Pacific Coast,
China rockfish - Northern Pacific Coast,Sebastes nebulosus,China rockfish,Northern Pacific Coast,
China rockfish - Southern Pacific Coast,Sebastes nebulosus,China rockfish,Southern Pacific Coast,
Copper rockfish - Northern California,Sebastes caurinus,Copper rockfish,Northern California,
Copper rockfish - Oregon,Sebastes caurinus,Copper rockfish,Oregon,
Copper rockfish - Southern California,Sebastes caurinus,Copper rockfish,Southern California,
Copper rockfish - Washington,Sebastes caurinus,Copper rockfish,Washington,
Cowcod - Southern California,Sebastes levis,Cowcod,Southern California,
Darkblotched rockfish - Pacific Coast,Sebastes crameri,Darkblotched rockfish,Pacific Coast,
Dover sole - Pacific Coast,Microstomus pacificus,Dover sole,Pacific Coast,
English sole - Pacific Coast,Parophrys vetulus,English sole,Pacific Coast,3
Greenspotted rockfish - Pacific Coast,Sebastes chlorostictus,Greenspotted rockfish,Pacific Coast,4
Greenstriped rockfish - Pacific Coast,Sebastes elongatus,Greenstriped rockfish,Pacific Coast,4
Kelp greenling - Oregon,Hexagrammos decagrammus,Kelp greenling,Oregon,4
Lingcod - Northern Pacific Coast,Ophiodon elongatus,Lingcod,Northern Pacific Coast,
Lingcod - Southern Pacific Coast,Ophiodon elongatus,Lingcod,Southern Pacific Coast,
Longnose skate - Pacific Coast,Raja rhina,Longnose skate,Pacific Coast,4
Longspine thornyhead - Pacific Coast,Sebastolobus altivelis,Longspine thornyhead,Pacific Coast,
Northern California Gopher / Black-and-Yellow Rockfish Complex,,,Northern California,
Oregon Blue and Deacon Rockfish Complex,,,,4
Pacific Coast Blackspotted and Rougheye Rockfish Complex,,,,
Pacific grenadier - Pacific Coast,Coryphaenoides acrolepis,Pacific grenadier,Pacific Coast,2
Pacific hake - Pacific Coast,Merluccius productus,Pacific hake,Pacific Coast,4
Pacific ocean perch - Pacific Coast,Sebastes alutus,Pacific ocean perch,Pacific Coast,4
Pacific sanddab - Pacific Coast,Citharichthys sordidus,Pacific sanddab,Pacific Coast,4
Petrale sole - Pacific Coast,Eopsetta jordani,Petrale sole,Pacific Coast,
Quillback rockfish - California,Sebastes maliger,Quillback rockfish,California,
Quillback rockfish - Oregon,Sebastes maliger,Quillback rockfish,Oregon,
Quillback rockfish - Washington,Sebastes maliger,Quillback rockfish,Washington,
Rex sole - Pacific Coast,Glyptocephalus zachirus,Rex sole,Pacific Coast,3
Rougheye rockfish - Pacific Coast,Sebastes aleutianus,Rougheye rockfish,Pacific Coast,2
Sablefish - Pacific Coast,Anoplopoma fimbria,Sablefish,Pacific Coast,
Sharpchin rockfish - Pacific Coast,Sebastes zacentrus,Sharpchin rockfish,Pacific Coast,3
Shortbelly rockfish - Pacific Coast,Sebastes jordani,Shortbelly rockfish,Pacific Coast,4
Shortspine thornyhead - Pacific Coast,Sebastolobus alascanus,Shortspine thornyhead,Pacific Coast,
Spiny dogfish - Pacific Coast,Squalus acanthias,Spiny dogfish,Pacific Coast,
Splitnose rockfish - Pacific Coast,Sebastes diploproa,Splitnose rockfish,Pacific Coast,4
Squarespot rockfish - Pacific Coast,Sebastes hopkinsi,Squarespot rockfish,Pacific Coast,
Starry flounder - Northern Pacific Coast,Platichthys stellatus,Starry flounder,Northern Pacific Coast,1
Starry flounder - Pacific Coast,Platichthys stellatus,Starry flounder,Pacific Coast,4
Starry flounder - Southern Pacific Coast,Platichthys stellatus,Starry flounder,Southern Pacific Coast,1
Stripetail rockfish - Pacific Coast,Sebastes saxicola,Stripetail rockfish,Pacific Coast,3
Vermilion and Sunset Rockfish Complex - Southern California,,,Southern California,
Vermilion and Sunset rockfish Complex - Northern California,,,Northern California,
Vermilion rockfish - Oregon,Sebastes miniatus,Vermilion rockfish,Oregon,
Vermilion rockfish - Washington,Sebastes miniatus,Vermilion rockfish,Washington,
Widow rockfish - Pacific Coast,Sebastes entomelas,Widow rockfish,Pacific Coast,
Yelloweye rockfish - Pacific Coast,Sebastes ruberrimus,Yelloweye rockfish,Pacific Coast,4
Yellowtail rockfish - Northern Pacific Coast,Sebastes flavidus,Yellowtail rockfish,Northern Pacific Coast,4
Yellowtail rockfish - Southern Pacific Coast,Sebastes flavidus,Yellowtail rockfish,Southern Pacific Coast,4
Chinook salmon - California Central Valley: Sacramento River Fall,Oncorhynchus tshawytscha,Chinook salmon,California Central Valley: Sacramento River Fall,
Chinook salmon - California Central Valley: Sacramento River Spring,Oncorhynchus tshawytscha,Chinook salmon,California Central Valley: Sacramento River Spring,
Chinook salmon - California Central Valley: Sacramento River Winter,Oncorhynchus tshawytscha,Chinook salmon,California Central Valley: Sacramento River Winter,
Chinook salmon - Columbia River Basin: Lower River Hatchery Fall,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Lower River Hatchery Fall,
Chinook salmon - Columbia River Basin: Lower River Hatchery Spring,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Lower River Hatchery Spring,
Chinook salmon - Columbia River Basin: Mid-River Bright Hatchery Fall,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Mid-River Bright Hatchery Fall,
Chinook salmon - Columbia River Basin: North Lewis River Fall,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: North Lewis River Fall,
Chinook salmon - Columbia River Basin: Snake River Fall,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Snake River Fall,
Chinook salmon - Columbia River Basin: Snake River Spring/Summer,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Snake River Spring/Summer,
Chinook salmon - Columbia River Basin: Spring Creek Hatchery Fall,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Spring Creek Hatchery Fall,
Chinook salmon - Columbia River Basin: Upper River Bright Fall,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Upper River Bright Fall,
Chinook salmon - Columbia River Basin: Upper River Spring,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Upper River Spring,
Chinook salmon - Columbia River Basin: Upper River Summer,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Upper River Summer,4
Chinook salmon - Columbia River Basin: Upper Willamette Spring,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Upper Willamette Spring,
Chinook salmon - Northern California Coast: California Coastal,Oncorhynchus tshawytscha,Chinook salmon,Northern California Coast: California Coastal,
Chinook salmon - Northern California Coast: Klamath River Fall,Oncorhynchus tshawytscha,Chinook salmon,Northern California Coast: Klamath River Fall,
Chinook salmon - Northern California Coast: Klamath River Spring,Oncorhynchus tshawytscha,Chinook salmon,Northern California Coast: Klamath River Spring,1
Chinook salmon - Oregon Coast: Central and Northern Oregon,Oncorhynchus tshawytscha,Chinook salmon,Oregon Coast: Central and Northern Oregon,
Chinook salmon - Oregon Coast: Southern Oregon,Oncorhynchus tshawytscha,Chinook salmon,Oregon Coast: Southern Oregon,
Chinook salmon - Puget Sound: Cedar River Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Cedar River Summer/Fall,
Chinook salmon - Puget Sound: Eastern Strait of Juan de Fuca Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Eastern Strait of Juan de Fuca Summer/Fall,
Chinook salmon - Puget Sound: Green River Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Green River Summer/Fall,
Chinook salmon - Puget Sound: Mid Hood Canal Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Mid Hood Canal Summer/Fall,
Chinook salmon - Puget Sound: Nisqually River Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Nisqually River Summer/Fall,
