"scientific_name","ComName","Last_assessment","avg_model_category","Catch_gap","Abundance_gap","LH_gap","Comp_gap","Eco_gap","Region","Functional_group","Repro_strat","Hab_spec","Prey_spec","Exposure","Sensitivity"
"Caulolatilus _ microps","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"gulf","Offshore Bottomfish",2.36,1.72,1.88,4,2.36
"Caulolatilus _ microps","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"sava","Deep Water Reef",1.8,2.2,1.4,4,3
"Caulolatilus _ bermudensis","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"gulf","Offshore Bottomfish",2.36,1.72,1.88,4,2.36
"Caulolatilus _ bermudensis","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"sava","Deep Water Reef",1.8,2.2,1.4,4,3
"Caulolatilus _ bermudensis","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"gulf","Offshore Bottomfish",2.36,1.72,1.88,4,2.36
"Caulolatilus _ bermudensis","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"sava","Deep Water Reef",1.8,2.2,1.4,4,3
"Caulolatilus _ bermudensis","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"gulf","Offshore Bottomfish",2.36,1.72,1.88,4,2.36
"Caulolatilus _ bermudensis","Blueline tilefish",2017.5,2,1,2,0.5,0.5,1.5,"sava","Deep Water Reef",1.8,2.2,1.4,4,3
"Lopholatilus _ chamaeleonticeps","Tilefish",2021,6,1.5,2,2,2,1,"neva","Groundfish",2.28,2.88,1.2,4,2.12
"Malacanthus _ plumieri","Tilefish",2021,6,1.5,2,2,2,1,"neva","Groundfish",2.28,2.88,1.2,4,2.12
"Branchiostegus _ auratus","Tilefish",2021,6,1.5,2,2,2,1,"neva","Groundfish",2.28,2.88,1.2,4,2.12
"Prolatilus _ jugularis","Tilefish",2021,6,1.5,2,2,2,1,"neva","Groundfish",2.28,2.88,1.2,4,2.12
"Scomberomorus _ cavalla","King mackerel",2020,6,1,1,1,2,0,"gulf","Coastal Pelagic",1.64,1.84,1.52,4,1.64
"Scomberomorus _ cavalla","King mackerel",2020,6,1,1,1,2,0,"sava","Coastal Pelagic",2,1.8,1.8,4,1.8
"Scomberomorus _ cavalla","King mackerel",2020,6,1,1,1,2,0,"gulf","Coastal Pelagic",1.64,1.84,1.52,4,1.64
