"scientific_name","common_name","stock_name","stock_area","overfishing","overfished","assessment_level","last_assessment","catch_gap","abundance_gap","LH_gap","comp_gap","eco_gap","Complexity.in.Reproductive.Strategy","Habitat.Specificity","Prey.Specificity","Exposure","Sensitivity","tmax","tm","rho","Fmsy_over_M","MASPS","margsd","Loo","K","M","r","status","tmax2","margsd2","rho2","Fmsy_over_M2","status2","avg_p_score","avg_s_score","score"
"Brevoortia _ tyrannus","Atlantic menhaden","Atlantic menhaden - Atlantic Coast","Atlantic Coast","Unknown","Unknown",2,2,2,2,2,2,2,2,3,3,1,3,2,2,2,1,3,1,1,3,3,3,2,2,1,2,1,2,2.28571428571429,1.84615384615385,2.06593406593407
"Calotomus _ carolinus","Stareye parrotfish","Stareye parrotfish - Main Hawaiian Islands","Main Hawaiian Islands","Unknown","Unknown",1,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1,3,3,3,2,3,1,1,1,2,2.21428571428571,1.69230769230769,1.9532967032967
"Carangoides _ orthogrammus","Island jack","Island jack - Guam","Guam","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,3,2,1,3,3,3,2,3,2,1,1,2,2.42857142857143,1.76923076923077,2.0989010989011
"Caranx _ ignobilis","Giant trevally","Giant trevally - Main Hawaiian Islands","Main Hawaiian Islands","Unknown","Unknown",1,2,2,2,2,2,2,3,3,3,1,3,2,2,2,1,3,2,2,2,3,2,2,2,2,2,1,2,2.42857142857143,1.76923076923077,2.0989010989011
"Caranx _ ignobilis","Giant trevally","Guam Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,3,3,3,1,3,2,2,2,1,3,2,2,2,3,2,2,2,2,2,1,2,2.42857142857143,1.84615384615385,2.13736263736264
"Caranx _ ignobilis","Giant trevally","Northern Mariana Islands Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,3,3,3,1,3,2,2,2,1,3,2,2,2,3,2,2,2,2,2,1,2,2.42857142857143,1.84615384615385,2.13736263736264
"Caranx _ lugubris","Black trevally","American Samoa Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,2,2,3,3,2,2,3,3,1,2,2.35714285714286,2.07692307692308,2.21703296703297
"Caranx _ lugubris","Black trevally","Guam Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,2,2,3,3,2,2,3,3,1,2,2.35714285714286,2.07692307692308,2.21703296703297
"Caranx _ lugubris","Black trevally","Northern Mariana Islands Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,2,2,3,3,2,2,3,3,1,2,2.35714285714286,2.07692307692308,2.21703296703297
"Caranx _ melampygus","Bluefin trevally","Bluefin trevally - Guam","Guam","Unknown","Unknown",2,2,2,2,2,2,2,3,3,3,1,3,2,2,2,1,3,2,2,2,3,3,2,2,2,2,1,2,2.5,1.84615384615385,2.17307692307692
