FY,Science Center,FINSS Standard Name,VPASS Project Name,Cruise/Leg/Date/Platform
2023,NWFSC,West Coast Rockfish Hook and Line,,"Cruise: 2023/09/18 ~ NA on Aggressor
Cruise: 2023/09/18 ~ NA on Mirage
Cruise: 2023/09/18 ~ NA on Toronado"
2023,PIFSC,Aggregated Land-based Work for PIFSC Marine Mammals and Turtles,,"Cruise: 2022/11/04 ~ 2022/11/11 on NA
Cruise: 2022/10/01 ~ NA on NA"
2023,PIFSC,American Samoa Reef Assessment and Monitoring Program (ASRAMP) - National Coral Reef Monitoring Program (NCRMP),,"Cruise: 2023/02/13 ~ 2023/02/26 on Rainier
Cruise: 2023/03/09 ~ 2023/03/23 on Rainier
Cruise: 2023/03/29 ~ 2023/04/21 on Rainier
Cruise: 2023/04/26 ~ 2023/05/13 on Rainier
Cruise: NA ~ NA on Rainier
Cruise: 2023/06/19 ~ 2023/07/11 on Rainier
Cruise: 2023/07/17 ~ 2023/08/10 on Rainier
Cruise: 2023/08/15 ~ 2023/08/28 on Rainier
Cruise: NA ~ NA on Rainier"
2023,PIFSC,Hawaiian Archipelago Insular,,Cruise: 2022/10/01 ~ NA on NA
2023,PIFSC,Hawaiian Archipelago Insular Bottomfish Survey (Cooperative Research),BFISH: Bottomfish Fishery-Independent Survey in Hawaii (Fall 2023),Cruise: 2023/08/01 ~ NA on PIFG fishing boats
2023,PIFSC,Hawaiian Monk Seal and Turtle Enhancement and Survey Cruise (HMSTEAS),,"Cruise: 2023/05/15 ~ 2023/05/24 on Kahana II
Cruise: 2023/08/21 ~ 2023/09/17 on Kahana II"
2023,PIFSC,PIFSC - Hawaiian Islands Cetacean and Ecosystem Assessment Survey (HICEAS),PIFSC - Hawaiian Islands Cetacean and Ecosystem Assessment Survey (HICEAS),"Cruise: 2023/07/22 ~ 2023/07/28 on Oscar Elton Sette
Cruise: 2023/08/04 ~ 2023/09/01 on Oscar Elton Sette
Cruise: 2023/09/07 ~ NA on Oscar Elton Sette"
2023,SEFSC,Aggregated Small Boat (<= 64 feet) Survey_SE,,Cruise: 2022/10/01 ~ NA on NA
2023,SEFSC,Gulf Fishery Independent Survey of Habitat and Ecosystem Resources (GFISHER),,"Cruise: 2023/04/15 ~ 2023/05/24 on NA
Cruise: 2023/07/17 ~ NA on NA"
2023,SEFSC,Gulf Of Mexico Leatherback Turtles,,"Cruise: 2023/04/09 ~ 2023/04/23 on NA
Cruise: 2023/04/09 ~ 2023/04/23 on NA"
2023,SEFSC,"Gulf of Mexico Cetacean, Sea bird and Sea Turtle Assessment Survey",Gulf of Mexico Marine Mammal Assessment Survey - DWH NRDA Open Ocean Monitoring and Adaptive Management,Cruise: 2023/06/21 ~ 2023/08/15 on Gordon Gunter
2023,SEFSC,Gulf of Mexico Oceanic Dolphin Stock Structure Survey,Gulf of Mexico Pantropical Spotted Dolphin Stock Structure,Cruise: 2023/05/08 ~ 2023/06/01 on Gordon Gunter
2023,SEFSC,Gulf of Mexico Shark Pupping and Nursery (GULFSPAN) (FSU/CML),,Cruise: NA ~ NA on NA
2023,SEFSC,Gulf of Mexico Shark Pupping and Nursery (GULFSPAN) (USM/GCRL),,Cruise: NA ~ NA on NA
2023,SEFSC,MARMAP/SEAMAP South Atlantic Reef Fish (SCDNR),,Cruise: 2023/05/08 ~ NA on NA
2023,SEFSC,MDBC Mesophotic Multi-Mission,Mesophotic and Deep Benthic Community Restoration. Mesophotic Multi-Mission,Cruise: 2023/06/12 ~ 2023/07/30 on PISCES
2023,SEFSC,Panama City Laboratory Reef Fish Trap/Video,,Cruise: NA ~ NA on NA
2023,SEFSC,Puerto Rico Deepwater Reef Fish Survey,,Cruise: 2023/05/22 ~ NA on Mi Familia
2023,SEFSC,SEAMAP Gulf of Mexico Reef Fish,SEAMAP Gulf of Mexico Reef Fish,"Cruise: 2023/03/23 ~ 2023/05/05 on PISCES
Cruise: 2023/07/17 ~ NA on NA"
2023,SEFSC,SEAMAP Gulf of Mexico Reef Fish Monitoring (FFWCC),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP Plankton_Fall,SEAMAP (Southeast Area Monitoring and Assessment Program) Fall Plankton Survey,Cruise: NA ~ NA on Gordon Gunter
2023,SEFSC,SEAMAP Plankton_Spring,SEAMAP (Southeast Area Monitoring and Assessment Program) Spring Plankton Survey,Cruise: 2023/05/03 ~ 2023/05/27 on Oregon II
2023,SEFSC,SEAMAP South Atlantic Coastal Trawl_Fall (SCDNR),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP South Atlantic Coastal Trawl_Spring (SCDNR),,Cruise: 2023/04/27 ~ NA on NA
2023,SEFSC,SEAMAP South Atlantic Coastal Trawl_Summer (SCDNR),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP South Atlantic North Carolina Pamlico Sound Trawl (NCDENR),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-C Reef Fish Survey (PR-DNER),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-C Spiny Lobster Visual Survey (USVI-DFW),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-GOM Bottom Longline Survey (ADCNR),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-GOM Bottom Longline Survey (LDWF),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-GOM Bottom Longline Survey (TPWD),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-GOM Bottom Longline Survey (USM/GCRL),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-GOM Offshore Plankton (LDWF),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-GOM Shrimp/Groundfish Trawl_Fall,"1st leg is fy22 Shark LL, 2nd 3rd legs fall groundfish","Cruise: 2022/10/03 ~ 2022/10/16 on Oregon II
Cruise: 2022/10/22 ~ 2022/11/17 on Oregon II"
2023,SEFSC,SEAMAP-GOM Shrimp/Groundfish Trawl_Fall (ADCNR),,Cruise: 2022/10/03 ~ 2022/10/28 on Tommy Munro
2023,SEFSC,SEAMAP-GOM Shrimp/Groundfish Trawl_Fall (FFWCC),,Cruise: 2022/10/03 ~ 2022/10/28 on Tommy Munro
2023,SEFSC,SEAMAP-GOM Shrimp/Groundfish Trawl_Fall (LDWF),,Cruise: 2022/10/02 ~ 2022/10/03 on Pelican
2023,SEFSC,SEAMAP-GOM Shrimp/Groundfish Trawl_Fall (USM/GCRL),,Cruise: 2022/10/03 ~ 2022/10/28 on Tommy Munro
2023,SEFSC,SEAMAP-GOM Shrimp/Groundfish Trawl_Summer,SEAMAP Summer Groundfish,"Cruise: 2023/07/26 ~ NA on Tommy Munro
Cruise: 2023/06/14 ~ 2023/07/16 on Oregon II"
2023,SEFSC,SEAMAP-GOM Shrimp/Groundfish Trawl_Summer (ADCNR),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-GOM Shrimp/Groundfish Trawl_Summer (FFWCC),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-GOM Shrimp/Groundfish Trawl_Summer (LDWF),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-GOM Shrimp/Groundfish Trawl_Summer (USM/GCRL),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-GOM Vertical Line Survey (ADCNR),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-GOM Vertical Line Survey (LDWF),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-GOM Vertical Line Survey (TPWD),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-SA Red Drum Bottom Longline Survey (GADNR),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-SA Red Drum Bottom Longline Survey (NCDENR),,Cruise: NA ~ NA on NA
2023,SEFSC,SEAMAP-SA Red Drum Bottom Longline Survey (SCDNR),,Cruise: NA ~ NA on NA
2023,SEFSC,SEFSC Shark/Red Snapper Bottom Longline Survey,SEFSC Shark/Red Snapper Bottom Longline Survey,Cruise: 2023/07/25 ~ NA on Oregon II
2023,SEFSC,South Atlantic Deepwater longline,,Cruise: NA ~ NA on NA
2023,SEFSC,South Atlantic Turtle Excluder Device (TED) Evaluations,,Cruise: NA ~ NA on NA
2023,SEFSC,Southeast AMAPPS Leatherback Turtles Tagging,,"Cruise: 2023/05/15 ~ 2023/05/26 on NA
Cruise: 2023/05/15 ~ 2023/05/26 on NA"
2023,SEFSC,Southeast AMAPPS Marine Mammal and Turtle_Winter,,"Cruise: NA ~ NA on N57RF, twin otter"
2023,SEFSC,Southeast Atlantic Marine Assessment Program for Protected Species_Spring,AMAPPS spring abundance line transect survey: NEFSC and SEFSC - Leg 1,Cruise: 2023/03/16 ~ 2023/03/30 on Gordon Gunter
2023,SEFSC,Southeast Fishery-Independent Survey (SEFIS),SouthEast Fishery-Independent Survey (SEFIS) - NOAA ship,"Cruise: NA ~ NA on PISCES
Cruise: 2023/05/16 ~ NA on Savannah"
2023,ST,Horseshoe Crab survey (TBD),,
2023,ST,Shark Longline survey (VIMS),,
2023,SWFSC,Aggregated land-based work for marine mammals and turtles,,Cruise: 2022/10/01 ~ NA on NA
