"scientific_name","stock_name","avg_p_score","avg_s_score","score"
"Balistes _ capriscus","Gray triggerfish - Gulf of Mexico",2.5,2.23076923076923,2.36538461538462
"Balistes _ capriscus","Gray triggerfish - Southern Atlantic Coast",2.5,1.84615384615385,2.17307692307692
"Bathyraja _ aleutica","Bering Sea / Aleutian Islands Skate Complex",1.78571428571429,2.07692307692308,1.93131868131868
"Bathyraja _ aleutica","Gulf of Alaska Skate Complex",1.78571428571429,2.15384615384615,1.96978021978022
"Bathyraja _ interrupta","Bering Sea / Aleutian Islands Skate Complex",1.92857142857143,2.07692307692308,2.00274725274725
"Bathyraja _ interrupta","Gulf of Alaska Skate Complex",1.92857142857143,2.15384615384615,2.04120879120879
"Bathyraja _ maculata","Bering Sea / Aleutian Islands Skate Complex",1.78571428571429,2.07692307692308,1.93131868131868
"Bathyraja _ parmifera","Alaska skate - Bering Sea / Aleutian Islands",2,2.07692307692308,2.03846153846154
"Bathyraja _ parmifera","Bering Sea / Aleutian Islands Skate Complex",2,2,2
"Bathyraja _ parmifera","Gulf of Alaska Skate Complex",2,2.07692307692308,2.03846153846154
"Bathyraja _ taranetzi","Bering Sea / Aleutian Islands Skate Complex",1.78571428571429,2.07692307692308,1.93131868131868
"Blepsias _ bilobus","Bering Sea / Aleutian Islands Sculpin Complex",2.35714285714286,1.76923076923077,2.06318681318681
"Brevoortia _ tyrannus","Atlantic menhaden - Atlantic Coast",2.28571428571429,1.84615384615385,2.06593406593407
"Calotomus _ carolinus","Stareye parrotfish - Main Hawaiian Islands",2.21428571428571,1.69230769230769,1.9532967032967
"Carangoides _ orthogrammus","Island jack - Guam",2.42857142857143,1.76923076923077,2.0989010989011
"Caranx _ ignobilis","Giant trevally - Main Hawaiian Islands",2.42857142857143,1.76923076923077,2.0989010989011
"Caranx _ ignobilis","Guam Bottomfish Multi-species Complex",2.42857142857143,1.84615384615385,2.13736263736264
"Caranx _ ignobilis","Northern Mariana Islands Bottomfish Multi-species Complex",2.42857142857143,1.84615384615385,2.13736263736264
"Caranx _ lugubris","American Samoa Bottomfish Multi-species Complex",2.35714285714286,2.07692307692308,2.21703296703297
"Caranx _ lugubris","Guam Bottomfish Multi-species Complex",2.35714285714286,2.07692307692308,2.21703296703297
"Caranx _ lugubris","Northern Mariana Islands Bottomfish Multi-species Complex",2.35714285714286,2.07692307692308,2.21703296703297
"Caranx _ melampygus","Bluefin trevally - Guam",2.5,1.84615384615385,2.17307692307692
"Carcharhinus _ acronotus","Atlantic Small Coastal Shark Complex",2.14285714285714,2,2.07142857142857
"Carcharhinus _ acronotus","Blacknose shark - Atlantic",2.14285714285714,2,2.07142857142857
"Carcharhinus _ acronotus","Blacknose shark - Gulf of Mexico",2.14285714285714,2.15384615384615,2.14835164835165
"Carcharhinus _ falciformis","Silky shark - Western and Central Pacific",2.14285714285714,2.23076923076923,2.18681318681319
"Carcharhinus _ isodon","Atlantic Small Coastal Shark Complex",2,2,2
"Carcharhinus _ isodon","Finetooth shark - Atlantic and Gulf of Mexico",2,2.15384615384615,2.07692307692308
"Carcharhinus _ limbatus","Blacktip shark - Atlantic",2.14285714285714,2.46153846153846,2.3021978021978
"Carcharhinus _ limbatus","Blacktip shark - Gulf of Mexico",2.14285714285714,2.38461538461538,2.26373626373626
"Carcharhinus _ longimanus","Oceanic whitetip shark - Western and Central Pacific",2.21428571428571,2.53846153846154,2.37637362637363
"Carcharhinus _ obscurus","Dusky shark - Atlantic and Gulf of Mexico",2,2.30769230769231,2.15384615384615
"Carcharhinus _ plumbeus","Sandbar shark - Atlantic and Gulf of Mexico",2.14285714285714,2.23076923076923,2.18681318681319
"Caulolatilus _ microps","Blueline tilefish - Mid-Atlantic Coast",2.07142857142857,2.15384615384615,2.11263736263736
"Caulolatilus _ microps","Blueline tilefish - Southern Atlantic Coast",2.07142857142857,2,2.03571428571429
"Centropristis _ striata","Black sea bass - Mid-Atlantic Coast",2.5,2.15384615384615,2.32692307692308
"Centropristis _ striata","Black sea bass - Southern Atlantic Coast",2.5,2.07692307692308,2.28846153846154
"Chaceon _ quinquedens","Red deepsea crab - Northwestern Atlantic",2,1.92307692307692,1.96153846153846
"Chionoecetes _ bairdi","Southern Tanner crab - Bering Sea",2,2.23076923076923,2.11538461538462
"Chionoecetes _ opilio","Snow crab - Bering Sea",2.07142857142857,2.07692307692308,2.07417582417582
"Chlorurus _ microrhinos","Steephead parrotfish - Guam",2,1.69230769230769,1.84615384615385
"Chlorurus _ perspicillatus","Spectacled parrotfish - Main Hawaiian Islands",2,1.61538461538462,1.80769230769231
"Chlorurus _ sordidus","Bullethead parrotfish - Main Hawaiian Islands",2,1.61538461538462,1.80769230769231
"Citharichthys _ sordidus","Bering Sea / Aleutian Islands Other Flatfish Complex",2.42857142857143,1.76923076923077,2.0989010989011
"Citharichthys _ sordidus","Pacific sanddab - Pacific Coast",2.42857142857143,1.76923076923077,2.0989010989011
"Clidoderma _ asperrimum","Bering Sea / Aleutian Islands Other Flatfish Complex",1.78571428571429,1.76923076923077,1.77747252747253
"Clupea _ harengus","Atlantic herring - Northwestern Atlantic Coast",1.71428571428571,1.76923076923077,1.74175824175824
"Coryphaenoides _ acrolepis","Pacific grenadier - Pacific Coast",1.5,2,1.75
"Dasycottus _ setiger","Bering Sea / Aleutian Islands Sculpin Complex",1.71428571428571,1.92307692307692,1.81868131868132
"Dipturus _ laevis","Barndoor skate - Georges Bank / Southern New England",1.92857142857143,2.38461538461538,2.15659340659341
"Embassichthys _ bathybius","Bering Sea / Aleutian Islands Other Flatfish Complex",1.85714285714286,1.92307692307692,1.89010989010989
"Engraulis _ mordax","Northern anchovy - Southern Pacific Coast",2.35714285714286,1.76923076923077,2.06318681318681
"Enophrys _ diceraus","Bering Sea / Aleutian Islands Sculpin Complex",2.28571428571429,1.92307692307692,2.1043956043956
