"Scientific name","Stock name","Jurisdiction","FMP","Science Center","Area","Productivity score","Susceptibility score","Vulnerability score"
"Rachycentron canadum","Cobia - Gulf of Mexico","SAFMC / GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","SEFSC","Gulf of Mexico",2.14,2,1.32
"Scomber scombrus","Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf",2.17,2,1.3
"Lutjanus kasmira","Common bluestripe snapper - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.17,2,1.3
"Lethrinus rubrioperculatus","Spotcheek emperor - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.17,2,1.3
"Psettichthys melanostictus","Gulf of Alaska Shallow Water Flatfish Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.17,2,1.3
"Anoplopoma fimbria","Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area / Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.71,1,1.29
"Anoplopoma fimbria","Sablefish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.71,1,1.29
"Aprion virescens","American Samoa Bottomfish Multi-species Complex","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.71,2.25,1.28
"Pristipomoides zonatus","American Samoa Bottomfish Multi-species Complex","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.71,2.25,1.28
"Pristipomoides zonatus","Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.71,2.25,1.28
"Pristipomoides zonatus","Northern Mariana Islands Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.71,2.25,1.28
"Hippoglossoides platessoides","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",1.83,1.5,1.27
"Microstomus pacificus","Dover sole - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.83,1.5,1.27
"Merluccius bilinearis","Silver hake - Gulf of Maine / Northern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2,1.75,1.25
"Epinephelus morio","Red grouper - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",2,1.75,1.25
"Hyporthodus flavolimbatus","Yellowedge grouper - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico",2,1.75,1.25
"Mycteroperca phenax","Scamp - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",2,1.75,1.25
"Lutjanus campechanus","Red snapper - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",2.29,2,1.23
"Lutjanus synagris","Lane snapper - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico",2.86,2.2,1.21
"Glyptocephalus zachirus","Rex sole - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2,1.67,1.2
"Pleuronectes quadrituberculatus","Gulf of Alaska Shallow Water Flatfish Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2,1.67,1.2
"Variola louti","Yellow-edged lyretail - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.33,2,1.2
"Pleurogrammus monopterygius","Atka mackerel - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.33,2,1.2
"Parophrys vetulus","Gulf of Alaska Shallow Water Flatfish Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.33,2,1.2
"Melanogrammus aeglefinus","Haddock - Gulf of Maine","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.14,1.8,1.17
"Merluccius productus","Pacific hake - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.83,1,1.17
"Lutjanus griseus","Gray snapper - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico",2,1.6,1.17
"Epinephelus morio","Red grouper - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico",2,1.6,1.17
"Platichthys stellatus","Starry flounder - Northern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2.43,2,1.15
"Platichthys stellatus","Starry flounder - Southern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2.43,2,1.15
"Seriola dumerili","Greater amberjack - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico",2.14,1.75,1.14
"Lutjanus analis","Mutton snapper - Southern Atlantic Coast / Gulf of Mexico","SAFMC / GMFMC","Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico","SEFSC","Southeast Shelf / Gulf of Mexico",2.14,1.75,1.14
"Sebastes fasciatus","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2,1.5,1.12
"Pleuronectes quadrituberculatus","Alaska plaice - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2,1.5,1.12
"Atheresthes stomias","Arrowtooth flounder - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2,1.5,1.12
"Atheresthes evermanni","Kamchatka flounder - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2,1.5,1.12
"Atheresthes stomias","Arrowtooth flounder - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2,1.5,1.12
"Eopsetta jordani","Petrale sole - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2,1.5,1.12
"Caranx lugubris","Black jack - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.5,2,1.12
"Scorpaenichthys marmoratus","Cabezon - Northern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2.5,2,1.12
"Scorpaenichthys marmoratus","Cabezon - Northern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2.5,2,1.12
"Scorpaenichthys marmoratus","Cabezon - Southern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2.5,2,1.12
"Isopsetta isolepis","Gulf of Alaska Shallow Water Flatfish Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.5,2,1.12
"Pomatomus saltatrix","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf",2.57,2,1.09
"Pagrus pagrus","Red porgy - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",2.57,2,1.09
"Melanogrammus aeglefinus","Haddock - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.14,1.67,1.09
"Aphareus rutilans","Rusty jobfish - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.14,1.67,1.09
"Limanda aspera","Gulf of Alaska Shallow Water Flatfish Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.14,1.67,1.09
"Atheresthes stomias","Arrowtooth flounder - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2,1.4,1.08
"Gadus chalcogrammus","Walleye pollock - Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.17,1.67,1.07
"Gadus chalcogrammus","Walleye pollock - Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.17,1.67,1.07
"Gadus chalcogrammus","Walleye pollock - Western / Central / West Yakutat Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.17,1.67,1.07
"Gadus morhua","Atlantic cod - Gulf of Maine","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.17,1.67,1.07
"Gadus macrocephalus","Pacific cod - Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.17,1.67,1.07
"Gadus macrocephalus","Pacific cod - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.17,1.67,1.07
"Scorpaena guttata","California scorpionfish - Southern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2.17,1.67,1.07
"Sardinops sagax","Pacific sardine - Northern Subpopulation","PFMC","Coastal Pelagic Species","SWFSC","California Current",2.17,1.67,1.07
"Hexagrammos decagrammus","Kelp greenling - Oregon","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2.67,2,1.05
"Merluccius albidus","Offshore hake - Northwestern Atlantic Coast","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.67,2,1.05
"Seriola dumerili","Greater amberjack - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",2.14,1.6,1.05
"Scophthalmus aquosus","Windowpane - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.71,2,1.04
"Scophthalmus aquosus","Windowpane - Southern New England / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.71,2,1.04
"Brevoortia tyrannus","Atlantic menhaden - Atlantic Coast","ASMFC","ASMFC Not In FMP","NEFSC / SEFSC","Northeast Shelf / Southeast Shelf",2.71,2,1.04
"Ophiodon elongatus","Lingcod - Northern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2.29,1.75,1.04
"Ophiodon elongatus","Lingcod - Southern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2.29,1.75,1.04
"Lutjanus campechanus","Red snapper - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico",2.29,1.75,1.04
"Limanda ferruginea","Yellowtail flounder - Cape Cod / Gulf of Maine","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.33,1.75,1
"Parophrys vetulus","English sole - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2.33,1.75,1
"Citharichthys sordidus","Pacific sanddab - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",3,2,1
"Balistes vetula","Queen triggerfish - Puerto Rico","CFMC","Puerto Rico Fishery Management Plan","SEFSC","Caribbean Sea",3,2,1
"Balistes vetula","Queen triggerfish - St. Croix","CFMC","St. Croix Fishery Management Plan","SEFSC","Caribbean Sea",3,2,1
"Balistes capriscus","Gray triggerfish - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",3,2,1
"Limanda aspera","Yellowfin sole - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.14,1.5,0.99
"Hippoglossoides elassodon","Flathead sole - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.29,1.67,0.98
"Melanogrammus aeglefinus","Haddock - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.14,1.4,0.95
"Pollachius virens","Pollock - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.14,1.4,0.95
"Scomberomorus maculatus","Spanish mackerel - Gulf of Mexico","SAFMC / GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","SEFSC","Gulf of Mexico",2.14,1.4,0.95
"Scomberomorus maculatus","Spanish mackerel - Southern Atlantic Coast","SAFMC / GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","SEFSC","Southeast Shelf",2.14,1.4,0.95
"Ocyurus chrysurus","Yellowtail snapper - Southern Atlantic Coast / Gulf of Mexico","SAFMC / GMFMC","Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico","SEFSC","Southeast Shelf / Gulf of Mexico",2.43,1.75,0.94
"Lachnolaimus maximus","Hogfish - Eastern Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico",2.43,1.75,0.94
"Lachnolaimus maximus","Hogfish - Carolinas","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",2.43,1.75,0.94
"Lachnolaimus maximus","Hogfish - Southeast Florida","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",2.43,1.75,0.94
"Limanda ferruginea","Yellowtail flounder - Southern New England / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.33,1.67,0.94
"Rhomboplites aurorubens","Vermilion snapper - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico",2.29,1.6,0.93
"Rhomboplites aurorubens","Vermilion snapper - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",2.29,1.6,0.93
"Pseudopleuronectes americanus","Winter flounder - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.5,1.75,0.9
"Platichthys stellatus","Gulf of Alaska Shallow Water Flatfish Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.43,1.67,0.88
"Lepidopsetta polyxystra","Northern rock sole - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.43,1.67,0.88
"Lepidopsetta polyxystra","Northern rock sole - Central Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.43,1.67,0.88
"Lepidopsetta polyxystra","Northern rock sole - Western Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.43,1.67,0.88
"Lepidopsetta polyxystra","Northern rock sole - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.43,1.67,0.88
"Lepidopsetta polyxystra","Gulf of Alaska Shallow Water Flatfish Complex","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.43,1.67,0.88
"Hippoglossoides elassodon","Flathead sole - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",2.29,1.5,0.87
"Pseudopleuronectes americanus","Winter flounder - Southern New England / Mid-Atlantic","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf",2.5,1.67,0.83
"Scorpaenichthys marmoratus","Cabezon - California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2.5,1.67,0.83
"Engraulis mordax","Northern anchovy - Southern Pacific Coast","PFMC","Coastal Pelagic Species","SWFSC","California Current",2.83,1.75,0.77
"Platichthys stellatus","Starry flounder - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",2.43,1.5,0.76
"Balistes capriscus","Gray triggerfish - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico",3,1.75,0.75
"Pleurogrammus monopterygius","Atka mackerel - Bering Sea / Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.33,1.33,0.75
"Stenotomus chrysops","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf",2.57,1.6,0.74
"Aprion virescens","Green jobfish - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.71,1.67,0.73
"Pristipomoides zonatus","Oblique-banded snapper - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.71,1.67,0.73
"Scomber japonicus","Pacific chub mackerel - Pacific Coast","PFMC","Coastal Pelagic Species","SWFSC","California Current",2.83,1.67,0.69
"Pristipomoides flavipinnis","Golden eye jobfish - American Samoa","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",3,1.67,0.67
"Centropristis striata","Black sea bass - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf",2.71,1.6,0.66
"Centropristis striata","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf",2.71,1.6,0.66
"Paralichthys dentatus","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf",2.83,1.5,0.53
"Peprilus triacanthus","Butterfish - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf",3,1.4,0.4
