Stock.Name,Jurisdiction,FMP,Science.Center,Regional.Ecosystem,Common.Name,Stock.Area,Assessment.Level,Model.Category,F.Flimit,F.Fmsy,B.Blimit,B.Bmsy,Genus,Species,overfishing,overfished,scientific_name,Mean.Gap,Exposure,Sensitivity,Loo,tmax,tm,M,h,r,Fmsy_over_M,Assessment.Level_scored,Model.Category_scored,status,scored_gap,avg_p_score,avg_s_score,distance,family,phylopic_uuid
Bluespine unicornfish - Guam,WPFMC,Mariana Archipelago Ecosystem,PIFSC,Pacific Islands Ecosystem Complex,Bluespine unicornfish,Guam,NA,1,0.888999999,NA,NA,NA,Naso,unicornis,Unknown,Unknown,Naso unicornis,NA,1,3,3,1,1,2,2,2,3,NA,3,NA,NA,2,2.333333333,1.666666667,Acanthuridae,56957948-cd3e-4d28-8c60-b6616a782b54
Shortfin mako - North Pacific,PFMC / WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SWFSC / PIFSC,Pacific Highly Migratory,Shortfin mako,North Pacific,4,NA,NA,0.61500001,NA,1.356999993,Isurus,oxyrinchus,Unknown,Unknown,Isurus oxyrinchus,0.5,NA,NA,1,2,1,1,1,1,1,1,1,NA,1,1.166666667,1,1.833333333,Lamnidae,a807f354-fd7c-4547-a7e8-573f7ca75e63
Swordfish - Western and Central North Pacific,PFMC / WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SWFSC / PIFSC,Pacific Highly Migratory,Swordfish,Western and Central North Pacific,4,NA,0.439999998,0.439999998,1.870000005,1.870000005,Xiphias,gladius,Unknown,Unknown,Xiphias gladius,0.25,1,3,1,2,1,2,2,2,3,1,1,NA,1,1.857142857,1.5,1.247446371,Xiphiidae,c892eff7-52de-46cf-b056-5cd4496ed47f
Skipjack tuna - Eastern Pacific,WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pelagic Fisheries of the Western Pacific Region,SWFSC,Pacific Highly Migratory,Skipjack tuna,Eastern Pacific,1,NA,NA,NA,NA,NA,Katsuwonus,pelamis,Unknown,Unknown,Katsuwonus pelamis,0.25,1,3,2,3,3,3,2,3,3,NA,NA,NA,1,2.714285714,1.666666667,0.725311724,Scombridae,873041a2-591a-4238-8a14-6073ef43e369
Shortfin mako - Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,Shortfin mako,Atlantic,4,NA,NA,NA,NA,NA,Isurus,oxyrinchus,Unknown,Unknown,Isurus oxyrinchus,NA,NA,NA,1,2,1,1,1,1,1,1,1,NA,NA,1.166666667,1,1.833333333,Lamnidae,a807f354-fd7c-4547-a7e8-573f7ca75e63
Pacific ocean perch - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Pacific ocean perch,Pacific Coast,4,NA,0.026000001,0.026000001,3.065999985,1.916000009,Sebastes,alutus,No,No,Sebastes alutus,0.25,1,2,3,1,1,1,1,1,2,1,1,1,1,1.428571429,1.2,1.584104717,Scorpaenidae,5d6d6109-ab41-4b83-bb30-ebe6e1c6d076
Dusky shark - Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,Dusky shark,Atlantic,3,NA,NA,NA,NA,NA,Carcharhinus,obscurus,Unknown,Unknown,Carcharhinus obscurus,NA,2,3,1,1,1,1,1,1,1,2,2,NA,NA,1.285714286,1.666666667,1.839353135,Carcharhinidae,07eeaf0e-0284-4c1d-8415-ddd65a736232
Kelp greenling - Oregon,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Kelp greenling,Oregon,4,NA,0.209999993,0.209999993,3.184000015,1.99000001,Hexagrammos,decagrammus,Unknown,Unknown,Hexagrammos decagrammus,NA,NA,NA,3,3,2,3,2,3,3,1,1,NA,NA,2.666666667,2,1.054092553,Hexagrammidae,b3c3e894-7471-4a94-bfc7-90cffabba912
Swordfish - Eastern Pacific,PFMC / WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SWFSC / PIFSC,Pacific Highly Migratory,Swordfish,Eastern Pacific,3,NA,NA,1.070000052,NA,1.879999995,Xiphias,gladius,Unknown,Unknown,Xiphias gladius,0.5,1,3,1,2,1,2,2,2,3,2,2,NA,1,1.857142857,1.75,1.366975658,Xiphiidae,c892eff7-52de-46cf-b056-5cd4496ed47f
Atlantic sharpnose shark - Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,Atlantic sharpnose shark,Atlantic,4,NA,0.233999997,0.233999997,2.70600009,2.078000069,Rhizoprionodon,terraenovae,No,No,Rhizoprionodon terraenovae,1,2,3,2,3,2,3,1,1,1,1,1,1,1,2.142857143,1.2,0.88016696,Carcharhinidae,cead0924-7260-48b4-b845-f15f5b27a258
Atlantic sharpnose shark - Gulf of Mexico,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,Atlantic sharpnose shark,Gulf of Mexico,4,NA,NA,NA,NA,NA,Rhizoprionodon,terraenovae,No,No,Rhizoprionodon terraenovae,1,2,3,2,3,2,3,1,1,1,1,1,1,1,2.142857143,1.2,0.88016696,Carcharhinidae,cead0924-7260-48b4-b845-f15f5b27a258
Chinook salmon - Northern California Coast: Klamath River Spring,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Chinook salmon,Northern California Coast: Klamath River Spring,1,NA,NA,NA,NA,NA,Oncorhynchus,tshawytscha,Unknown,Unknown,Oncorhynchus tshawytscha,3.5,1,2,2,3,2,3,2,3,3,NA,NA,NA,3,2.428571429,2.333333333,1.450623449,Salmonidae,9150be88-6910-4374-aa54-a7f8f3d79fb6
Striped marlin - Eastern Pacific,PFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pelagic Fisheries of the Western Pacific Region,SWFSC,Pacific Highly Migratory,Striped marlin,Eastern Pacific,4,NA,0.358999997,0.358999997,NA,1.194000006,Kajikia,audax,Unknown,Unknown,Kajikia audax,0.5,1,3,1,2,2,3,1,2,1,1,1,NA,1,2,1,1,Istiophoridae,495d8372-dc7a-44b6-b8e4-3b462672d71f
Scalloped hammerhead - Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,Scalloped hammerhead,Atlantic,3,NA,1.289999962,1.289999962,NA,0.449999988,Sphyrna,lewini,Unknown,Unknown,Sphyrna lewini,NA,1,3,1,1,1,1,1,1,1,2,2,NA,NA,1.285714286,1.333333333,1.746392459,Sphyrnidae,5d6f65dd-4c32-47c1-ba2e-5ae5c62958dd
Black rockfish - Northern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Black rockfish,Northern Pacific Coast,4,NA,0.698000014,0.698000014,2.207999945,1.379999995,Sebastes,melanops,Unknown,Unknown,Sebastes melanops,NA,NA,NA,3,1,1,1,2,1,3,1,1,NA,NA,1.5,2,1.802775638,Scorpaenidae,d0bde1d1-e52f-4d4e-828c-1641836dfb16
Black rockfish - Southern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Black rockfish,Southern Pacific Coast,4,NA,0.469999999,0.469999999,2.819000006,1.761999965,Sebastes,melanops,Unknown,Unknown,Sebastes melanops,NA,NA,NA,3,1,1,1,2,1,3,1,1,NA,NA,1.5,2,1.802775638,Scorpaenidae,d0bde1d1-e52f-4d4e-828c-1641836dfb16
Bering Sea / Aleutian Islands Shark Complex,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,AFSC,Alaska Ecosystem Complex,Pacific spiny dogfish,,0,NA,NA,NA,NA,NA,Squalus,suckleyi,Unknown,Unknown,Squalus suckleyi,NA,NA,NA,2,1,1,1,1,1,1,NA,NA,NA,NA,1.166666667,1,1.833333333,Squalidae,725bfe62-4c36-4a1d-8a18-68ff5dc10491
Gulf Smoothhound Complex,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,Smooth dogfish,,3,NA,NA,0.170000002,NA,1.766000032,Mustelus,canis,Unknown,Unknown,Mustelus canis,0.5,NA,NA,2,2,1,2,1,1,1,2,2,NA,1,1.5,1.333333333,1.536590743,Triakidae,a743b477-2ab6-4bce-af42-7bc28e2e6702
Gulf of Alaska Shark Complex,NPFMC,Groundfish of the Gulf of Alaska,AFSC,Alaska Ecosystem Complex,Pacific spiny dogfish,,NA,2,0.398999989,0.398999989,NA,NA,Squalus,suckleyi,Unknown,Unknown,Squalus suckleyi,NA,NA,NA,2,1,1,1,1,1,1,NA,3,NA,NA,1.166666667,2,2.088327348,Squalidae,725bfe62-4c36-4a1d-8a18-68ff5dc10491
Atlantic Small Coastal Shark Complex,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,Atlantic sharpnose shark,,3,NA,0.25,0.25,2.349999905,1.690000057,Rhizoprionodon,terraenovae,Unknown,Unknown,Rhizoprionodon terraenovae,NA,2,3,2,3,2,3,1,1,1,2,2,NA,NA,2.142857143,1.666666667,1.085881357,Carcharhinidae,cead0924-7260-48b4-b845-f15f5b27a258
Atlantic Small Coastal Shark Complex,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,Bonnethead shark,,3,NA,0.25,0.25,2.349999905,1.690000057,Sphyrna,tiburo,Unknown,Unknown,Sphyrna tiburo,NA,2,3,2,2,1,2,1,1,1,2,2,NA,NA,1.714285714,1.666666667,1.448276793,Sphyrnidae,447f6c3a-0d91-4496-9947-72816ab13ced
Bering Sea / Aleutian Islands Other Flatfish Complex,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,AFSC,Alaska Ecosystem Complex,Rex sole,,NA,2,0.166999996,0.166999996,NA,NA,Glyptocephalus,zachirus,Unknown,Unknown,Glyptocephalus zachirus,NA,NA,NA,3,2,1,2,2,2,3,NA,3,NA,NA,2,3,2.236067977,Pleuronectidae,e32383d9-7c0f-46fc-8318-cc195eb48fae
Bering Sea / Aleutian Islands Other Skates Complex,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,AFSC,Alaska Ecosystem Complex,Big skate,,NA,2,0.25,0.25,NA,NA,Raja,binoculata,Unknown,Unknown,Raja binoculata,NA,NA,NA,2,2,1,2,1,1,1,NA,3,NA,NA,1.5,2,1.802775638,Rajidae,6b1b1dec-5ca1-4854-8ad0-7e394392c6a1
California Blue and Deacon Rockfish Complex,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Deacon rockfish,,NA,6,0.851999998,0.851999998,1.659000039,1.036999941,Sebastes,predictive,Unknown,Unknown,Sebastes diaconus,NA,NA,NA,3,1,1,1,2,1,3,NA,1,NA,NA,1.5,2,1.802775638,Scorpaenidae,ed245bc2-c8dc-4ad4-9d08-efa19fe6854a
Caribbean Parrotfishes Complex,CFMC,Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands,SEFSC,Caribbean Sea,Queen parrotfish,,0,NA,NA,NA,NA,NA,Scarus,vetula,Unknown,Unknown,Scarus vetula,NA,NA,NA,3,2,3,2,2,2,3,NA,NA,NA,NA,2.333333333,3,2.108185107,Scaridae,c64c0819-e807-4c9c-b98b-d00c37df211e
Gulf of Alaska Other Rockfish Complex,NPFMC,Groundfish of the Gulf of Alaska,AFSC,Alaska Ecosystem Complex,Widow rockfish,,NA,2,0.241999999,0.241999999,NA,NA,Sebastes,entomelas,Unknown,Unknown,Sebastes entomelas,NA,NA,NA,3,1,1,1,2,1,3,NA,3,NA,NA,1.5,3,2.5,Scorpaenidae,9df00a50-9103-4967-a509-25316d886a61
Gulf of Alaska Skate Complex,NPFMC,Groundfish of the Gulf of Alaska,AFSC,Alaska Ecosystem Complex,Big skate,,NA,2,0.899999976,0.899999976,NA,NA,Raja,binoculata,Unknown,Unknown,Raja binoculata,NA,NA,NA,2,2,1,2,1,1,1,NA,3,NA,NA,1.5,2,1.802775638,Rajidae,6b1b1dec-5ca1-4854-8ad0-7e394392c6a1
Oregon Blue and Deacon Rockfish Complex,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Deacon rockfish,,4,NA,0.345999986,0.345999986,2.743000031,1.713999987,Sebastes,predictive,Unknown,Unknown,Sebastes diaconus,NA,NA,NA,3,1,1,1,2,1,3,1,1,NA,NA,1.5,2,1.802775638,Scorpaenidae,ed245bc2-c8dc-4ad4-9d08-efa19fe6854a
Red grouper - Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,SEFSC,Gulf of Mexico,Red grouper,Gulf of Mexico,5,6,0.783999979,0.783999979,1.639000058,0.819999993,Epinephelus,morio,No,No,Epinephelus morio,1.5,2,2,2,2,1,2,3,2,3,1,1,1,1,2,1.6,1.166190379,Serranidae,86c40d81-2613-4bb4-ad57-fb460be56ae5
Atlantic salmon - Gulf of Maine,NEFMC,Atlantic Salmon,NEFSC,Northeast Shelf,Atlantic salmon,Gulf of Maine,NA,2,NA,NA,NA,NA,Salmo,salar,Unknown,Unknown,Salmo salar,0,NA,NA,2,3,3,3,3,3,3,NA,3,NA,1,2.833333333,2.333333333,1.343709625,Salmonidae,23a7d09d-4a4d-4ad5-ad07-49a6b59a7fba
Coho salmon - Oregon Production Index Area: Central California Coast,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Oregon Production Index Area: Central California Coast,NA,2,NA,NA,NA,NA,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,1.25,1,2,2,3,3,3,2,3,3,NA,3,NA,1,2.571428571,2,1.087967587,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Oregon Production Index Area: Columbia River Early Hatchery,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Oregon Production Index Area: Columbia River Early Hatchery,NA,4,NA,NA,NA,58.91899872,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,1,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Oregon Production Index Area: Columbia River Late Hatchery,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Oregon Production Index Area: Columbia River Late Hatchery,NA,4,NA,NA,NA,10.11299992,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,1,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Oregon Production Index Area: Lower Columbia Natural,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Oregon Production Index Area: Lower Columbia Natural,NA,2,0.75,NA,NA,NA,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,1.75,1,2,2,3,3,3,2,3,3,NA,3,NA,1,2.571428571,2,1.087967587,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Oregon Production Index Area: Oregon Coast Hatchery,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Oregon Production Index Area: Oregon Coast Hatchery,NA,4,NA,NA,NA,NA,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,1,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Oregon Production Index Area: Oregon Coast Natural,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Oregon Production Index Area: Oregon Coast Natural,NA,4,0.920000017,0.920000017,NA,NA,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,1.25,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Oregon Production Index Area: Southern Oregon/Northern California Coast,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Oregon Production Index Area: Southern Oregon/Northern California Coast,NA,2,NA,NA,NA,NA,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,1.5,1,2,2,3,3,3,2,3,3,NA,3,NA,1,2.571428571,2,1.087967587,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Puget Sound: Hood Canal,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Puget Sound: Hood Canal,NA,4,0.38499999,0.38499999,1.654000044,1.238999963,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,0.75,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Puget Sound: Skagit,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Puget Sound: Skagit,NA,4,0.550000012,0.550000012,3.694999933,2.197999954,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,1,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Puget Sound: Snohomish,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Puget Sound: Snohomish,NA,4,0.182999998,0.182999998,2.288000107,1.417999983,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,1,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Puget Sound: South Puget Sound Hatchery,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Puget Sound: South Puget Sound Hatchery,NA,4,NA,NA,NA,0.745999992,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,1,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Puget Sound: Stillaguamish,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Puget Sound: Stillaguamish,NA,4,0.219999999,0.219999999,5.800000191,3.538000107,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,1,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Washington Coast: Grays Harbor,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Washington Coast: Grays Harbor,NA,4,0.354000002,0.354000002,2.522000074,1.891000032,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,0.75,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Washington Coast: Hoh,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Washington Coast: Hoh,NA,3,0.27700001,0.27700001,2.806999922,2.105999947,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,0.75,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Washington Coast: Queets,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Washington Coast: Queets,NA,4,0.153999999,0.153999999,1.523000002,1.14199996,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,0.75,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Washington Coast: Quillayute Fall,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Washington Coast: Quillayute Fall,NA,4,0.068000004,0.068000004,2.069999933,1.552999973,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,0.75,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Washington Coast: Quillayute Summer Hatchery,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Washington Coast: Quillayute Summer Hatchery,NA,4,NA,NA,NA,1.399999976,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,0.75,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Washington Coast: Quinault Hatchery,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Washington Coast: Quinault Hatchery,NA,2,NA,NA,NA,NA,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,0.75,1,2,2,3,3,3,2,3,3,NA,3,NA,1,2.571428571,2,1.087967587,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Washington Coast: Strait of Juan de Fuca,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Washington Coast: Strait of Juan de Fuca,NA,4,0.116999999,0.116999999,2.065999985,1.315000057,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,0.75,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Washington Coast: Willapa Bay Hatchery,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Washington Coast: Willapa Bay Hatchery,NA,4,NA,NA,NA,11.07499981,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,0.75,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Coho salmon - Washington Coast: Willapa Bay Natural,PFMC,Pacific Coast Salmon,NWFSC / SWFSC,California Current,Coho salmon,Washington Coast: Willapa Bay Natural,NA,4,0.324000001,0.324000001,2.698999882,1.350000024,Oncorhynchus,kisutch,Unknown,Unknown,Oncorhynchus kisutch,0.75,1,2,2,3,3,3,2,3,3,NA,2,NA,1,2.571428571,1.75,0.86381333,Salmonidae,1df5b970-3302-4e5b-8df1-a3d9fb5744d3
Pacific bluefin tuna - Pacific,PFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,PIFSC,Pacific Highly Migratory,Pacific bluefin tuna,Pacific,4,6,NA,0.954999983,1.547999978,1.159999967,Thunnus,orientalis,Unknown,Unknown,Thunnus orientalis,0.5,NA,NA,1,2,1,2,2,2,3,1,1,NA,1,1.666666667,1.666666667,1.490711985,Scombridae,576e4c83-ba51-446a-9d6f-3c03ed4986e0
Lane snapper - Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,SEFSC,Gulf of Mexico,Lane snapper,Gulf of Mexico,NA,1,0.809000015,NA,NA,NA,Lutjanus,synagris,No,Unknown,Lutjanus synagris,1.75,2,3,3,3,2,3,3,3,3,NA,3,2,1,2.857142857,2.2,1.208473485,Lutjanidae,107de00e-8571-4caf-b7dc-16476796dfee
Barndoor skate - Georges Bank / Southern New England,NEFMC,Northeast Skate Complex,NEFSC,Northeast Shelf,Barndoor skate,Georges Bank / Southern New England,1,2,0,NA,2.154000044,1.070000052,Dipturus,laevis,Unknown,Unknown,Dipturus laevis,1.25,NA,NA,1,2,1,2,1,1,1,NA,3,NA,1,1.333333333,1.666666667,1.795054936,Rajidae,010cc025-d27d-470a-b311-99a7ee081ea5
Clearnose skate - Southern New England / Mid-Atlantic,NEFMC,Northeast Skate Complex,NEFSC,Northeast Shelf,Clearnose skate,Southern New England / Mid-Atlantic,NA,2,0.927999973,NA,0.016000001,0.801999986,Raja,eglanteria,Unknown,Unknown,Raja eglanteria,1.25,NA,NA,2,2,1,2,1,1,1,NA,3,NA,1,1.5,1.666666667,1.6414763,Rajidae,99c4dce9-a6dd-44da-8311-59397d03df1b
Rosette skate - Southern New England / Mid-Atlantic,NEFMC,Northeast Skate Complex,NEFSC,Northeast Shelf,Rosette skate,Southern New England / Mid-Atlantic,NA,2,0,NA,2.191999912,1.075000048,Leucoraja,garmani,Unknown,Unknown,Leucoraja garmani,1.25,NA,NA,2,2,1,2,1,1,1,NA,3,NA,1,1.5,1.666666667,1.6414763,Rajidae,525c6fd5-3ff0-4ad6-892a-7c35c774c2b1
Alaska plaice - Bering Sea / Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,AFSC,Alaska Ecosystem Complex,Alaska plaice,Bering Sea / Aleutian Islands,NA,6,0.405999988,0.405999988,NA,1.577999949,Pleuronectes,quadrituberculatus,No,No,Pleuronectes quadrituberculatus,NA,1,3,3,1,1,1,3,2,3,NA,1,1,NA,2,1.5,1.118033989,Pleuronectidae,4c2220b9-68a8-4594-8dd8-229643e11c84
Alaska skate - Bering Sea / Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,AFSC,Alaska Ecosystem Complex,Alaska skate,Bering Sea / Aleutian Islands,NA,6,0.731000006,0.731000006,NA,2.065000057,Bathyraja,parmifera,Unknown,Unknown,Bathyraja parmifera,NA,1,3,2,2,1,1,2,1,2,NA,1,NA,NA,1.714285714,1.333333333,1.328221493,Arhynchobatidae,8d9410d3-8b41-4c4b-ad27-1bf8dd606e47
Flathead sole - Bering Sea / Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,AFSC,Alaska Ecosystem Complex,Flathead sole,Bering Sea / Aleutian Islands,NA,6,0.035,0.035,NA,2.076999903,Hippoglossoides,elassodon,Unknown,Unknown,Hippoglossoides elassodon,NA,1,3,3,2,1,2,3,2,3,NA,1,NA,NA,2.285714286,1.666666667,0.977061168,Pleuronectidae,b1d9363d-7ba2-4eda-9998-f45cd6d703f1
Northern rockfish - Bering Sea / Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,AFSC,Alaska Ecosystem Complex,Northern rockfish,Bering Sea / Aleutian Islands,NA,6,0.328999996,0.301999986,NA,2.026000023,Sebastes,polyspinis,No,No,Sebastes polyspinis,NA,NA,NA,3,1,1,1,2,1,2,NA,1,1,NA,1.5,1.333333333,1.536590743,Scorpaenidae,590dd989-103a-4b22-8788-81471386d860
Pacific cod - Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,AFSC,Alaska Ecosystem Complex,Pacific cod,Aleutian Islands,NA,2,0.574000001,0.574000001,NA,NA,Gadus,macrocephalus,No,Unknown,Gadus macrocephalus,NA,NA,NA,2,2,2,3,2,2,3,NA,3,2,NA,2.166666667,2.666666667,1.863389981,Gadidae,bba1800a-dd86-451d-a79b-c5944cfe5231
