"Stock.Name","Jurisdiction","FMP","Science.Center","Regional.Ecosystem","Common.Name","Stock.Area","Assessment.Level","Model.Category","F.Flimit","F.Fmsy","B.Blimit","B.Bmsy","Genus","Species","overfishing","overfished","scientific_name","Mean.Gap","Exposure","Sensitivity","Loo","tmax","tm","M","h","r","Fmsy_over_M","Assessment.Level_scored","Model.Category_scored","status","scored_gap","avg_p_score","avg_s_score","distance","family","phylopic_uuid","Survey.Ecosystem","survey"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","RI trawl survey"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","URI GSO trawl survey"
"Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Summer flounder","Mid-Atlantic Coast",NA,6,1.029000044,1.029000044,1.654000044,0.827000022,"Paralichthys","dentatus","No","No","Paralichthys dentatus",0.75,NA,NA,2,3,3,3,3,3,3,NA,1,1,1,2.833333333,1.5,0.527046277,"Paralichthyidae","017fbcd1-34bb-42b6-80e2-75adab53987d","Northeast Shelf","VIMS ChesMMAP bottom trawl"
"Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Acadian redfish","Gulf of Maine / Georges Bank",4,6,0.351000011,0.351000011,3.285000086,1.643000007,"Sebastes","fasciatus","No","No","Sebastes fasciatus",0.25,NA,NA,3,2,1,1,3,2,3,1,1,1,1,2,1.5,1.118033989,"Scorpaenidae","590dd989-103a-4b22-8788-81471386d860","Northeast Shelf","Bottom Trawl Survey_Fall"
"Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Acadian redfish","Gulf of Maine / Georges Bank",4,6,0.351000011,0.351000011,3.285000086,1.643000007,"Sebastes","fasciatus","No","No","Sebastes fasciatus",0.25,NA,NA,3,2,1,1,3,2,3,1,1,1,1,2,1.5,1.118033989,"Scorpaenidae","590dd989-103a-4b22-8788-81471386d860","Northeast Shelf","Bottom Trawl Survey_Spring"
"Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Atlantic cod","Eastern Georges Bank",NA,1,NA,NA,NA,NA,"Gadus","morhua","Unknown","Unknown","Gadus morhua",NA,NA,NA,2,2,2,2,3,2,3,NA,3,NA,NA,2.166666667,3,2.166666667,"Gadidae","bba1800a-dd86-451d-a79b-c5944cfe5231","Northeast Shelf","Bottom Trawl Survey_Fall"
"Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Atlantic cod","Eastern Georges Bank",NA,1,NA,NA,NA,NA,"Gadus","morhua","Unknown","Unknown","Gadus morhua",NA,NA,NA,2,2,2,2,3,2,3,NA,3,NA,NA,2.166666667,3,2.166666667,"Gadidae","bba1800a-dd86-451d-a79b-c5944cfe5231","Northeast Shelf","Bottom Trawl Survey_Spring"
"Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Atlantic cod","Eastern Georges Bank",NA,1,NA,NA,NA,NA,"Gadus","morhua","Unknown","Unknown","Gadus morhua",NA,NA,NA,2,2,2,2,3,2,3,NA,3,NA,NA,2.166666667,3,2.166666667,"Gadidae","bba1800a-dd86-451d-a79b-c5944cfe5231","Northeast Shelf","DFO Canada bottom trawl"
"Haddock - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Haddock","Eastern Georges Bank",NA,6,1.444000006,1.444000006,NA,NA,"Melanogrammus","aeglefinus","Unknown","Unknown","Melanogrammus aeglefinus",NA,1,3,2,2,2,2,2,2,3,NA,1,NA,NA,2.142857143,1.666666667,1.085881357,"Gadidae","0a3f06b7-a093-46e5-9298-268768d83046","Northeast Shelf","Bottom Trawl Survey_Fall"
"Haddock - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Haddock","Eastern Georges Bank",NA,6,1.444000006,1.444000006,NA,NA,"Melanogrammus","aeglefinus","Unknown","Unknown","Melanogrammus aeglefinus",NA,1,3,2,2,2,2,2,2,3,NA,1,NA,NA,2.142857143,1.666666667,1.085881357,"Gadidae","0a3f06b7-a093-46e5-9298-268768d83046","Northeast Shelf","Bottom Trawl Survey_Spring"
