"Stock.Name","Jurisdiction","FMP","Science.Center","Regional.Ecosystem","Common.Name","Stock.Area","Assessment.Level","Model.Category","F.Flimit","F.Fmsy","B.Blimit","B.Bmsy","Genus","Species","overfishing","overfished","scientific_name","Mean.Gap","Exposure","Sensitivity","Loo","tmax","tm","M","h","r","Fmsy_over_M","Assessment.Level_scored","Model.Category_scored","status","scored_gap","avg_p_score","avg_s_score","distance"
"Steephead parrotfish - Guam","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Steephead parrotfish","Guam",NA,1,0.870999992,NA,NA,NA,"Chlorurus","microrhinos","Unknown","Unknown","Chlorurus _ microrhinos",NA,1,2,2,2,2,2,2,2,3,NA,3,NA,NA,2,2.33333333333333,1.66666666666667
"Yellowlip emperor - Guam","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Yellowlip emperor","Guam",NA,1,1,NA,NA,NA,"Lethrinus","xanthochilus","Unknown","Unknown","Lethrinus _ xanthochilus",NA,NA,NA,3,2,1,2,2,2,3,NA,3,NA,NA,2,3,2.23606797749979
"Oceanic whitetip shark - Western and Central Pacific","WPFMC","Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","PIFSC","Pacific Highly Migratory","Oceanic whitetip shark","Western and Central Pacific",NA,6,1.843999982,3.278000116,0.184,0.092,"Carcharhinus","longimanus","Unknown","Unknown","Carcharhinus _ longimanus",1.5,1,3,1,2,1,2,1,1,1,NA,1,NA,1,1.57142857142857,1,1.42857142857143
"Blacktip shark - Gulf of Mexico","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Blacktip shark","Gulf of Mexico",4,NA,NA,NA,NA,NA,"Carcharhinus","limbatus","No","No","Carcharhinus _ limbatus",1,2,3,1,2,1,2,1,1,1,1,1,1,1,1.57142857142857,1.2,1.44250349272735
"Sandbar shark - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Sandbar shark","Atlantic",4,NA,0.57099998,0.57099998,0.885999978,0.773999989,"Carcharhinus","plumbeus","Unknown","Unknown","Carcharhinus _ plumbeus",NA,2,3,1,2,1,1,1,1,1,1,1,NA,NA,1.42857142857143,1.33333333333333,1.6063931231841
"Hogfish - Eastern Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico","Hogfish","Eastern Gulf of Mexico",4,NA,0.50999999,0.50999999,4.717000008,2.358999968,"Lachnolaimus","maximus","Unknown","Unknown","Lachnolaimus _ maximus",0.25,2,2,3,2,2,2,3,3,3,1,1,NA,1,2.42857142857143,1.75,0.942884198746006
"Blueline tilefish - Mid-Atlantic Coast","MAFMC","Tilefish","SEFSC","Northeast Shelf / Southeast Shelf","Blueline tilefish","Mid-Atlantic Coast",1,NA,NA,NA,NA,NA,"Caulolatilus","microps","Unknown","Unknown","Caulolatilus _ microps",1,2,2,2,2,1,2,3,2,3,NA,NA,NA,1,2,2,1.4142135623731
"Shortfin mako - North Pacific","PFMC / WPFMC","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","SWFSC / PIFSC","Pacific Highly Migratory","Shortfin mako","North Pacific",4,NA,NA,0.61500001,NA,1.356999993,"Isurus","oxyrinchus","Unknown","Unknown","Isurus _ oxyrinchus",0.5,NA,NA,1,2,1,1,1,1,1,1,1,NA,1,1.16666666666667,1,1.83333333333333
"Swordfish - Western and Central North Pacific","PFMC / WPFMC","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","SWFSC / PIFSC","Pacific Highly Migratory","Swordfish","Western and Central North Pacific",4,NA,0.439999998,0.439999998,1.870000005,1.870000005,"Xiphias","gladius","Unknown","Unknown","Xiphias _ gladius",0.25,1,3,1,2,1,2,2,2,3,1,1,NA,1,1.85714285714286,1.5,1.24744637118378
"Thresher shark - North Pacific","PFMC / WPFMC","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","SWFSC / PIFSC","Pacific Highly Migratory","Thresher shark","North Pacific",4,NA,0.209999993,0.209999993,1.399999976,1.34800005,"Alopias","vulpinus","Unknown","Unknown","Alopias _ vulpinus",0.25,NA,NA,1,2,1,1,1,1,1,1,1,NA,1,1.16666666666667,1,1.83333333333333
"Vermilion snapper - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf","Vermilion snapper","Southern Atlantic Coast",4,NA,0.610000014,0.610000014,1.511000037,1.131000042,"Rhomboplites","aurorubens","No","No","Rhomboplites _ aurorubens",1.5,2,3,2,2,2,2,3,2,3,1,1,1,1,2.28571428571429,1.6,0.932847298132258
"Crimson jobfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Crimson jobfish","Main Hawaiian Islands",3,NA,NA,0.584999979,NA,1.269999981,"Pristipomoides","filamentosus","Unknown","Unknown","Pristipomoides _ filamentosus",NA,NA,NA,2,2,2,2,3,2,3,2,2,NA,NA,2.16666666666667,2.5,1.71593835683117
"Silky shark - Western and Central Pacific","WPFMC","Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","PIFSC","Pacific Highly Migratory","Silky shark","Western and Central Pacific",4,NA,1.605000019,1.605000019,1.43599999,1.177999973,"Carcharhinus","falciformis","Unknown","Unknown","Carcharhinus _ falciformis",0.25,1,3,1,2,1,2,1,1,1,1,1,NA,1,1.57142857142857,1,1.42857142857143
"Skipjack tuna - Eastern Pacific","WPFMC","U.S. West Coast Fisheries for Highly Migratory Species / Pelagic Fisheries of the Western Pacific Region","SWFSC","Pacific Highly Migratory","Skipjack tuna","Eastern Pacific",1,NA,NA,NA,NA,NA,"Katsuwonus","pelamis","Unknown","Unknown","Katsuwonus _ pelamis",0.25,1,3,2,3,3,3,2,3,3,NA,NA,NA,1,2.71428571428571,1.66666666666667,0.725311724367991
"Shortfin mako - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Shortfin mako","Atlantic",4,NA,NA,NA,NA,NA,"Isurus","oxyrinchus","Unknown","Unknown","Isurus _ oxyrinchus",NA,NA,NA,1,2,1,1,1,1,1,1,1,NA,NA,1.16666666666667,1,1.83333333333333
"Bocaccio - Southern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Bocaccio","Southern Pacific Coast",4,NA,0.109999999,0.109999999,1.945000052,1.215000033,"Sebastes","paucispinis","No","No","Sebastes _ paucispinis",NA,NA,NA,3,1,1,1,2,1,3,1,1,1,NA,1.5,1.66666666666667,1.64147630029935
"California scorpionfish - Southern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","California scorpionfish","Southern California",4,NA,0.469999999,0.469999999,2.173000097,1.35800004,"Scorpaena","guttata","No","No","Scorpaena _ guttata",NA,NA,NA,3,2,1,2,3,2,3,1,1,1,NA,2.16666666666667,1.66666666666667,1.06718737290548
"Chilipepper - Southern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Chilipepper","Southern Pacific Coast",4,NA,0.054000001,0.054000001,2.76699996,1.730000019,"Sebastes","goodei","No","No","Sebastes _ goodei",NA,NA,NA,3,1,1,1,2,1,2,1,1,1,NA,1.5,1.33333333333333,1.53659074288215
"Pacific ocean perch - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Pacific ocean perch","Pacific Coast",4,NA,0.026000001,0.026000001,3.065999985,1.916000009,"Sebastes","alutus","No","No","Sebastes _ alutus",0.25,1,2,3,1,1,1,1,1,2,1,1,1,1,1.42857142857143,1.2,1.58410471721476
"Starry flounder - Northern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Starry flounder","Northern Pacific Coast",1,NA,NA,NA,NA,NA,"Platichthys","stellatus","Unknown","Unknown","Platichthys _ stellatus",NA,1,3,3,2,2,2,3,2,3,NA,NA,NA,NA,2.42857142857143,2,1.15175110689979
"Starry flounder - Southern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Starry flounder","Southern Pacific Coast",1,NA,NA,NA,NA,NA,"Platichthys","stellatus","Unknown","Unknown","Platichthys _ stellatus",NA,1,3,3,2,2,2,3,2,3,NA,NA,NA,NA,2.42857142857143,2,1.15175110689979
"Yellowtail rockfish - Northern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Yellowtail rockfish","Northern Pacific Coast",4,NA,0.294,0.294,2.819999933,1.879999995,"Sebastes","flavidus","No","No","Sebastes _ flavidus",NA,NA,NA,3,1,1,1,2,1,3,1,1,1,NA,1.5,1.66666666666667,1.64147630029935
"Yellowtail rockfish - Southern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Yellowtail rockfish","Southern Pacific Coast",4,NA,NA,NA,NA,NA,"Sebastes","flavidus","Unknown","Unknown","Sebastes _ flavidus",NA,NA,NA,3,1,1,1,2,1,3,1,1,NA,NA,1.5,2,1.80277563773199
"Bigeye thresher - North Pacific","PFMC / WPFMC","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","SWFSC / PIFSC","Pacific Highly Migratory","Bigeye thresher","Pacific",2,NA,NA,NA,NA,NA,"Alopias","superciliosus","Unknown","Unknown","Alopias _ superciliosus",NA,NA,NA,1,2,1,1,1,1,1,3,3,NA,NA,1.16666666666667,2,2.08832734769028
"Blueline tilefish - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf","Blueline tilefish","Southern Atlantic Coast",3,NA,0.917999983,0.917999983,1.407999992,1.055999994,"Caulolatilus","microps","Unknown","Unknown","Caulolatilus _ microps",1,2,2,2,2,1,2,3,2,3,2,2,NA,1,2,2,1.4142135623731
"Red grouper - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf","Red grouper","Southern Atlantic Coast",4,NA,1.539999962,1.539999962,0.381000012,0.286000013,"Epinephelus","morio","Unknown","Unknown","Epinephelus _ morio",1.5,2,2,2,2,1,2,3,2,3,1,1,NA,1,2,1.75,1.25
"Bullethead parrotfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Bullethead parrotfish","Main Hawaiian Islands",2,NA,1.350999951,NA,NA,NA,"Chlorurus","sordidus","Unknown","Unknown","Chlorurus _ sordidus",NA,1,2,3,2,3,2,2,2,3,3,3,NA,NA,2.28571428571429,2.33333333333333,1.51260763564463
"Giant trevally - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Giant trevally","Main Hawaiian Islands",2,NA,1.059000015,NA,NA,NA,"Caranx","ignobilis","Unknown","Unknown","Caranx _ ignobilis",NA,1,3,2,2,2,3,3,2,3,3,3,NA,NA,2.42857142857143,2.33333333333333,1.45062344873598
"Goatfish (Parupeneus porphyreus) - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Goatfish (Parupeneus porphyreus)","Main Hawaiian Islands",2,NA,1.851999998,NA,NA,NA,"Parupeneus","porphyreus","Unknown","Unknown","Parupeneus _ porphyreus",NA,NA,NA,3,3,3,3,3,3,3,3,3,NA,NA,3,3,2
"Palenose parrotfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Palenose parrotfish","Main Hawaiian Islands",2,NA,0.68900001,NA,NA,NA,"Scarus","psittacus","Unknown","Unknown","Scarus _ psittacus",NA,1,3,3,3,3,3,3,3,3,3,3,NA,NA,3,2.33333333333333,1.33333333333333
"Redlip parrotfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Redlip parrotfish","Main Hawaiian Islands",2,NA,1.200000048,NA,NA,NA,"Scarus","rubroviolaceus","Unknown","Unknown","Scarus _ rubroviolaceus",NA,1,3,3,2,3,2,2,2,3,3,3,NA,NA,2.42857142857143,2.33333333333333,1.45062344873598
"Regal parrotfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Regal parrotfish","Main Hawaiian Islands",2,NA,0.58099997,NA,NA,NA,"Scarus","dubius","Unknown","Unknown","Scarus _ dubius",NA,NA,NA,3,2,2,2,2,2,3,3,3,NA,NA,2.16666666666667,3,2.16666666666667
"Shortnosed unicornfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Shortnosed unicornfish","Main Hawaiian Islands",2,NA,1.875,NA,NA,NA,"Naso","brevirostris","Unknown","Unknown","Naso _ brevirostris",NA,NA,NA,3,2,2,3,2,2,3,3,3,NA,NA,2.33333333333333,3,2.10818510677892
"Sleek unicornfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Sleek unicornfish","Main Hawaiian Islands",2,NA,2,NA,NA,NA,"Naso","hexacanthus","Unknown","Unknown","Naso _ hexacanthus",NA,1,3,3,1,1,2,2,2,2,3,3,NA,NA,2,2,1.4142135623731
"Spectacled parrotfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Spectacled parrotfish","Main Hawaiian Islands",2,NA,0.474000007,NA,NA,NA,"Chlorurus","perspicillatus","Unknown","Unknown","Chlorurus _ perspicillatus",NA,1,2,3,2,2,2,2,2,3,3,3,NA,NA,2.14285714285714,2.33333333333333,1.58507780734221
"Stareye parrotfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Stareye parrotfish","Main Hawaiian Islands",2,NA,2.102999926,NA,NA,NA,"Calotomus","carolinus","Unknown","Unknown","Calotomus _ carolinus",NA,NA,NA,3,3,3,3,2,3,3,3,3,NA,NA,2.83333333333333,3,2.00693242979872
"Twosaddle goatfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Twosaddle goatfish","Main Hawaiian Islands",2,NA,0.388999999,NA,NA,NA,"Parupeneus","insularis","Unknown","Unknown","Parupeneus _ insularis",NA,NA,NA,3,3,3,3,3,3,3,3,3,NA,NA,3,3,2
"Yellowfin goatfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Yellowfin goatfish","Main Hawaiian Islands",2,NA,0.421999991,NA,NA,NA,"Mulloidichthys","vanicolensis","Unknown","Unknown","Mulloidichthys _ vanicolensis",NA,1,3,3,3,3,3,3,3,3,3,3,NA,NA,3,2.33333333333333,1.33333333333333
"Yellowstripe goatfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Yellowstripe goatfish","Main Hawaiian Islands",2,NA,0.515999973,NA,NA,NA,"Mulloidichthys","flavolineatus","Unknown","Unknown","Mulloidichthys _ flavolineatus",NA,1,3,3,3,3,3,3,3,3,3,3,NA,NA,3,2.33333333333333,1.33333333333333
"Dusky shark - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Dusky shark","Atlantic",3,NA,NA,NA,NA,NA,"Carcharhinus","obscurus","Unknown","Unknown","Carcharhinus _ obscurus",NA,2,3,1,1,1,1,1,1,1,2,2,NA,NA,1.28571428571429,1.66666666666667,1.83935313484076
"Goliath grouper - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico","Goliath grouper","Gulf of Mexico",1,NA,NA,NA,NA,NA,"Epinephelus","itajara","Unknown","Unknown","Epinephelus _ itajara",NA,2,2,1,1,1,1,2,1,3,NA,NA,NA,NA,1.28571428571429,2.5,2.27788838844314
"Atka mackerel - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex","Atka mackerel","Gulf of Alaska",0,NA,0.197999999,0.197999999,NA,NA,"Pleurogrammus","monopterygius","Unknown","Unknown","Pleurogrammus _ monopterygius",NA,NA,NA,3,2,2,3,2,2,2,NA,NA,NA,NA,2.33333333333333,2,1.20185042515466
"Coho salmon - Ford Arm Lake","NPFMC","Salmon Fisheries in the EEZ off the Coast of Alaska","AFSC","Alaska Ecosystem Complex","Coho salmon","Ford Arm Lake",4,NA,0.809000015,NA,2.477999926,1.238999963,"Oncorhynchus","kisutch","Unknown","Unknown","Oncorhynchus _ kisutch",NA,1,2,2,3,3,3,2,3,3,1,1,NA,NA,2.57142857142857,1.66666666666667,0.792538903671107
"Gray triggerfish - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf","Gray triggerfish","Southern Atlantic Coast",4,NA,NA,NA,NA,NA,"Balistes","capriscus","Unknown","Unknown","Balistes _ capriscus",2.25,2,3,3,3,3,3,3,3,3,1,1,NA,2,3,2,1
"Goliath grouper - Southern Atlantic Coast / Gulf of Mexico","SAFMC / GMFMC","Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico","SEFSC","Southeast Shelf / Gulf of Mexico","Goliath grouper","Southern Atlantic Coast / Gulf of Mexico",3,NA,NA,NA,NA,NA,"Epinephelus","itajara","Unknown","Unknown","Epinephelus _ itajara",1.75,2,2,1,1,1,1,2,1,3,2,2,NA,1,1.28571428571429,2,1.98463485563569
"Kelp greenling - Oregon","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Kelp greenling","Oregon",4,NA,0.209999993,0.209999993,3.184000015,1.99000001,"Hexagrammos","decagrammus","Unknown","Unknown","Hexagrammos _ decagrammus",NA,NA,NA,3,3,2,3,2,3,3,1,1,NA,NA,2.66666666666667,2,1.05409255338946
"Mutton snapper - Southern Atlantic Coast / Gulf of Mexico","SAFMC / GMFMC","Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico","SEFSC","Southeast Shelf / Gulf of Mexico","Mutton snapper","Southern Atlantic Coast / Gulf of Mexico",4,NA,0.649999976,0.649999976,1.271999955,1.131999969,"Lutjanus","analis","Unknown","Unknown","Lutjanus _ analis",1.5,2,2,2,2,2,2,3,2,3,1,1,NA,1,2.14285714285714,1.75,1.13894419422157
"Red hind - Caribbean","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea","Red hind","Caribbean",2,NA,NA,NA,NA,NA,"Epinephelus","guttatus","Unknown","Unknown","Epinephelus _ guttatus",NA,NA,NA,3,2,1,2,3,2,3,3,3,NA,NA,2.16666666666667,3,2.16666666666667
"Swordfish - Eastern Pacific","PFMC / WPFMC","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","SWFSC / PIFSC","Pacific Highly Migratory","Swordfish","Eastern Pacific",3,NA,NA,1.070000052,NA,1.879999995,"Xiphias","gladius","Unknown","Unknown","Xiphias _ gladius",0.5,1,3,1,2,1,2,2,2,3,2,2,NA,1,1.85714285714286,1.75,1.36697565778605
"Hogfish - Carolinas","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf","Hogfish","Carolinas",4,NA,NA,NA,NA,NA,"Lachnolaimus","maximus","Unknown","Unknown","Lachnolaimus _ maximus",1.25,2,2,3,2,2,2,3,3,3,1,1,NA,1,2.42857142857143,1.75,0.942884198746006
"Hogfish - Southeast Florida","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf","Hogfish","Southeast Florida",4,NA,1.593999982,1.593999982,0.465999991,0.382999986,"Lachnolaimus","maximus","Unknown","Unknown","Lachnolaimus _ maximus",1.25,2,2,3,2,2,2,3,3,3,1,1,NA,1,2.42857142857143,1.75,0.942884198746006
"Wreckfish - Southern Atlantic Coast","SAFMC","Snapper-Grouper Fishery of the South Atlantic Region","SEFSC","Southeast Shelf","Wreckfish","Southern Atlantic Coast",4,NA,NA,0.583000004,1.643000007,1.582999945,"Polyprion","americanus","Unknown","Unknown","Polyprion _ americanus",1.5,NA,NA,2,1,1,1,2,1,3,1,1,NA,1,1.33333333333333,1.66666666666667,1.7950549357115
"Atlantic sharpnose shark - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Atlantic sharpnose shark","Atlantic",4,NA,0.233999997,0.233999997,2.70600009,2.078000069,"Rhizoprionodon","terraenovae","No","No","Rhizoprionodon _ terraenovae",1,2,3,2,3,2,3,1,1,1,1,1,1,1,2.14285714285714,1.2,0.880166960042821
"Atlantic sharpnose shark - Gulf of Mexico","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Atlantic sharpnose shark","Gulf of Mexico",4,NA,NA,NA,NA,NA,"Rhizoprionodon","terraenovae","No","No","Rhizoprionodon _ terraenovae",1,2,3,2,3,2,3,1,1,1,1,1,1,1,2.14285714285714,1.2,0.880166960042821
"Aurora rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Aurora rockfish","Pacific Coast",4,NA,0.614000022,0.614000022,2.549000025,1.593999982,"Sebastes","aurora","Unknown","No","Sebastes _ aurora",NA,NA,NA,3,1,1,1,2,1,3,1,1,2,NA,1.5,2,1.80277563773199
"Brown rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Brown rockfish","Pacific Coast",3,NA,0.657999992,0.657999992,1.702999949,1.06400001,"Sebastes","auriculatus","Unknown","No","Sebastes _ auriculatus",NA,NA,NA,3,1,1,1,2,1,3,2,2,2,NA,1.5,2.33333333333333,2.00693242979872
"English sole - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","English sole","Pacific Coast",3,NA,0.052999999,0.052999999,7.032000065,3.516000032,"Parophrys","vetulus","No","No","Parophrys _ vetulus",0.25,NA,NA,3,2,2,2,3,2,3,2,2,1,1,2.33333333333333,1.75,1.00346621489936
"Pacific sanddab - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Pacific sanddab","Pacific Coast",4,NA,NA,NA,NA,NA,"Citharichthys","sordidus","Unknown","No","Citharichthys _ sordidus",NA,NA,NA,3,3,3,3,3,3,3,1,1,2,NA,3,2,1
"Sharpchin rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Sharpchin rockfish","Pacific Coast",3,NA,0.061000001,0.061000001,2.720000029,1.700000048,"Sebastes","zacentrus","Unknown","No","Sebastes _ zacentrus",NA,NA,NA,3,1,1,1,2,1,3,2,2,2,NA,1.5,2.33333333333333,2.00693242979872
"Stripetail rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Stripetail rockfish","Pacific Coast",3,NA,NA,NA,NA,NA,"Sebastes","saxicola","Unknown","Unknown","Sebastes _ saxicola",0,NA,NA,3,1,1,1,2,1,3,2,2,NA,1,1.5,2,1.80277563773199
"Chinook salmon - Northern California Coast: Klamath River Spring","PFMC","Pacific Coast Salmon","NWFSC / SWFSC","California Current","Chinook salmon","Northern California Coast: Klamath River Spring",1,NA,NA,NA,NA,NA,"Oncorhynchus","tshawytscha","Unknown","Unknown","Oncorhynchus _ tshawytscha",3.5,1,2,2,3,2,3,2,3,3,NA,NA,NA,3,2.42857142857143,2.33333333333333,1.45062344873598
"Redtail parrotfish - Caribbean","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea","Redtail parrotfish","Caribbean",2,NA,NA,NA,NA,NA,"Sparisoma","chrysopterum","Unknown","Unknown","Sparisoma _ chrysopterum",NA,NA,NA,3,3,3,3,3,3,3,3,3,NA,NA,3,3,2
"Silk snapper - Caribbean","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea","Silk snapper","Caribbean",2,NA,NA,NA,NA,NA,"Lutjanus","vivanus","Unknown","Unknown","Lutjanus _ vivanus",NA,NA,NA,2,2,1,1,2,2,3,3,3,NA,NA,1.66666666666667,3,2.40370085030933
"Blacknose shark - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Blacknose shark","Atlantic",4,NA,NA,NA,NA,NA,"Carcharhinus","acronotus","Yes","Yes","Carcharhinus _ acronotus",1,2,3,1,2,1,2,1,1,1,1,1,3,1,1.57142857142857,1.6,1.54945678433786
"Blacknose shark - Gulf of Mexico","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Blacknose shark","Gulf of Mexico",4,NA,NA,NA,NA,NA,"Carcharhinus","acronotus","Unknown","Unknown","Carcharhinus _ acronotus",1,2,3,1,2,1,2,1,1,1,1,1,NA,1,1.57142857142857,1.25,1.45028146458907
"Queen snapper - Caribbean","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea","Queen snapper","Caribbean",1,NA,NA,NA,NA,NA,"Etelis","oculatus","Unknown","Unknown","Etelis _ oculatus",NA,NA,NA,2,2,2,2,2,2,3,NA,NA,NA,NA,2,3,2.23606797749979
"Tilefish - Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","SEFSC","Gulf of Mexico","Tilefish","Gulf of Mexico",4,NA,NA,NA,NA,NA,"Lopholatilus","chamaeleonticeps","Unknown","Unknown","Lopholatilus _ chamaeleonticeps",0.5,1,2,2,1,1,1,3,2,3,1,1,NA,1,1.71428571428571,1.5,1.37951485113057
"Offshore hake - Northwestern Atlantic Coast","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Offshore hake","Northwestern Atlantic Coast",1,NA,NA,NA,NA,NA,"Merluccius","albidus","Unknown","Unknown","Merluccius _ albidus",1.25,NA,NA,3,3,3,3,2,2,3,NA,NA,NA,1,2.66666666666667,2,1.05409255338946
"Greenspotted rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Greenspotted rockfish","Pacific Coast",4,NA,0.071000002,0.071000002,1.381999969,0.862999976,"Sebastes","chlorostictus","Unknown","Unknown","Sebastes _ chlorostictus",NA,NA,NA,3,1,1,1,2,1,3,1,1,NA,NA,1.5,2,1.80277563773199
"Bank rockfish - California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Bank rockfish","California",2,NA,0.120999999,NA,NA,NA,"Sebastes","rufus","Unknown","Unknown","Sebastes _ rufus",NA,NA,NA,3,1,1,1,2,1,3,3,3,NA,NA,1.5,3,2.5
"Blue rockfish - Southern California","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Blue rockfish","Southern California",2,NA,0.072999999,NA,NA,NA,"Sebastes","mystinus","Unknown","Unknown","Sebastes _ mystinus",NA,NA,NA,3,1,1,1,2,1,3,3,3,NA,NA,1.5,3,2.5
