"survey","p_score","s_score","distance","n_stocks","n_species","type","region","type_and_region"
"Florida Fish and Wildlife Conservation Commission Inshore Survey",2,1.6,1.166190379,1,1,"inshore net","Gulf of Mexico","Gulf of Mexico inshore net"
"Florida Keys/Southeast Reef Fish Visual Census (RVC)",2.2142857145,1.75,1.0979220625,4,4,"visual","Southeast Shelf","Southeast Shelf visual"
"GAP Aleutian Island Bottom Trawl_Summer",2.07746031742667,2.57777777777333,1.94001383836,17,70,"bottom trawl","Alaska","Alaska bottom trawl"
"GAP Gulf of Alaska Bottom Trawl_Summer",1.666666667,1.8333333335,1.5777573605,2,2,"bottom trawl","Alaska","Alaska bottom trawl"
"GAP-SAP Eastern Bering Sea Bottom Trawl_Summer",2.12441314552113,2.59037558685915,1.91774558725352,15,68,"bottom trawl","Alaska","Alaska bottom trawl"
"Gulf Video Surveys",2.142857143,1.75,1.138944194,1,1,"visual","Gulf of Mexico","Gulf of Mexico visual"
"Gulf of Mexico Pelagic Longline",1.7857142855,1.625,1.3732452545,2,2,"hook and line","Gulf of Mexico","Gulf of Mexico hook and line"
"Hake Acoustic_Summer",1.833333333,1,1.166666667,1,1,"acoustic-trawl","West Coast","West Coast acoustic-trawl"
"Hawaiian Archipelago Insular Bottomfish Survey (Cooperative Research)",2.166666667,2.5,1.715938357,1,1,"hook and line","Pacific Islands","Pacific Islands hook and line"
"IPHC Longline Survey",1.51587301566667,1.44444444466667,1.58111057633333,3,3,"hook and line","West Coast","West Coast hook and line"
"Juvenile Rockfish Survey",1.520833333375,1.708333333375,1.65492295025,7,8,"midwater trawl","West Coast","West Coast midwater trawl"
"MACE Bogoslof Pollock Acoustic Trawl_Winter",2.166666667,2.666666667,1.863389981,1,1,"bottom trawl","Alaska","Alaska bottom trawl"
"MACE Kenai/PWS Pollock Acoustic Trawl_Winter",2.166666667,1.666666667,1.067187373,1,1,"bottom trawl","Alaska","Alaska bottom trawl"
"MACE Shelikof Strait Pollock Acoustic Trawl_Winter",2.166666667,1.666666667,1.067187373,1,1,"bottom trawl","Alaska","Alaska bottom trawl"
"MARMAP",1.714285714,1.5,1.379514851,1,1,"hook and line","Gulf of Mexico","Gulf of Mexico hook and line"
"MARMAP Reef Fish Long Bottom Longline Survey (SCDNR)",1.968253968,1.688888889,1.26930030666667,3,3,"hook and line","Southeast Shelf","Southeast Shelf hook and line"
"MARMAP/SEAMAP South Atlantic Reef Fish (SCDNR)",2.25,1.7625,1.095961502125,8,8,"visual","Southeast Shelf","Southeast Shelf visual"
"MESA Gulf of Alaska & Eastern Bering Sea & Aleutian Islands Longline_Summer",1.666666666625,1.718750000125,1.55441421875,7,7,"hook and line","Alaska","Alaska hook and line"
"Main Hawaiian Island (MHI) Insular Bottomfish Survey (Cooperative Research)",2.15646258528571,2.54761904785714,1.79529785785714,1,7,"hook and line","Pacific Islands","Pacific Islands hook and line"
"Maryland DNR inshore trawl survey",2.714285714,1.6,0.664554477,1,1,"bottom trawl","Northeast Shelf","Northeast Shelf bottom trawl"
"Massachusetts DMF Bottom Trawl_Fall",2.38095238066667,1.72777777783333,1.0122925455,6,6,"bottom trawl","Northeast Shelf","Northeast Shelf bottom trawl"
"Massachusetts DMF Bottom Trawl_Spring",2.61309523775,1.6125,0.73310228375,4,4,"bottom trawl","Northeast Shelf","Northeast Shelf bottom trawl"
"NH/ME Inshore Trawl Survey (MDMF)",2.4166666665,2,1.1748787085,2,2,"bottom trawl","Northeast Shelf","Northeast Shelf bottom trawl"
"New Jersey DEP spring bottom trawl",2.6428571425,1.8,0.876261032,2,2,"bottom trawl","Northeast Shelf","Northeast Shelf bottom trawl"
"New York DEC juvenile seine",2.714285714,1.6,0.664554477,1,1,"inshore net","Northeast Shelf","Northeast Shelf inshore net"
"North Carolina Pamlico Sound Independent Gillnet Survey",2.571428571,2,1.087967587,1,1,"inshore net","Northeast Shelf","Northeast Shelf inshore net"
"Northeast Area Monitoring and Assessment Program (NEAMAP)_Spring (MDMR/VIMS)",2.7380952378,1.62,0.6833821014,5,5,"bottom trawl","Northeast Shelf","Northeast Shelf bottom trawl"
"Northeast Atlantic Benthic Habitat_Winter",2.333333333,1.666666667,0.942809042,1,1,"visual","Northeast Shelf","Northeast Shelf visual"
"Northeast Ecosystem Monitoring (EcoMon)_Fall",2.25,1.8333333335,1.1222586605,2,2,"midwater trawl","Northeast Shelf","Northeast Shelf midwater trawl"
"Northeast Ecosystem Monitoring (EcoMon)_Summer",2.44444444433333,1.72222222233333,0.923854532666667,3,3,"midwater trawl","Northeast Shelf","Northeast Shelf midwater trawl"
"Olympic Coast Monitoring Inventory",1.5,2,1.802775638,1,1,"visual","West Coast","West Coast visual"
"PISCO Dive Survey 15+ cm fish",1.5,2,1.802775638,1,2,"visual","West Coast","West Coast visual"
"PISCO Dive Survey age=0 fish",1.5,2,1.802775638,1,2,"visual","West Coast","West Coast visual"
